N	2gram	Propp_Russ_2	Problemy
1	и в	29	29
2	может быть	13	24
3	а не	4	22
4	в этом	11	22
5	т е	24	21
6	как бы	18	19
7	не только	10	15
8	то что	5	15
9	но и	8	14
10	то же	4	14
11	уже не	4	13
12	как и	11	12
13	не может	5	12
14	таким образом	6	12
15	в то	2	10
16	там где	2	10
17	это не	5	9
18	все же	2	9
19	но не	5	9
20	все эти	3	9
21	до конца	3	8
22	что в	22	8
23	в своей	2	8
24	потому что	5	8
25	в том	22	8
26	прежде всего	2	7
27	том что	22	7
28	не в	4	7
29	она не	3	7
30	в форме	2	7
31	и как	2	7
32	а в	9	7
33	с другими	3	7
34	и на	6	7
35	но в	5	7
36	все это	10	6
37	к нему	4	6
38	одним из	2	6
39	что она	3	6
40	как в	7	6
41	так же	4	6
42	могут быть	2	6
43	его в	8	6
44	так как	13	6
45	именно в	4	5
46	было бы	3	5
47	еще не	6	5
48	это и	2	5
49	и о	3	5
50	на самом	2	5
51	между тем	3	5
52	все то	2	4
53	что и	2	4
54	должна была	5	4
55	так чтобы	2	4
56	и с	10	4
57	он есть	2	4
58	в свете	3	4
59	и т	5	4
60	и для	2	4
61	не было	2	4
62	тем что	3	4
63	как мы	3	4
64	должно быть	2	4
65	их в	4	4
66	в этой	3	4
67	никогда не	2	3
68	в них	4	3
69	с другой	2	3
70	все в	2	3
71	по существу	4	3
72	одна из	11	3
73	кроме того	2	3
74	и пр	2	3
75	в их	2	3
76	друг друга	3	3
77	тому как	3	3
78	в своих	2	3
79	подобно тому	3	3
80	за ним	3	3
81	далеко не	4	3
82	связи с	2	2
83	с этой	2	2
84	и от	3	2
85	вопрос о	4	2
86	и ее	2	2
87	же в	6	2
88	так что	4	2
89	чем в	2	2
90	при этом	6	2
91	на себя	2	2
92	только как	2	2
93	в котором	3	2
94	один из	2	2
95	как можно	2	2
96	в последний	3	2
97	данном случае	7	2
98	то и	4	2
99	или же	5	2
100	здесь мы	2	2
101	и что	5	2
102	из которых	2	2
103	или даже	3	2
104	можно было	2	2
105	в данном	6	2
106	этот вопрос	2	2
107	в которых	4	2
108	одно из	2	2
109	но он	3	2
110	как например	3	2
111	заметить что	2	2
112	в которой	2	2
113	е в	10	2
114	с этим	2	2
115	можно больше	2	2
