N	2gram	Bakhtin_fo_1	Psycholo
1	то что	6	32
2	и в	50	31
3	в том	9	30
4	и т	8	26
5	то есть	33	26
6	что в	5	23
7	может быть	11	22
8	таким образом	11	20
9	ясно что	2	19
10	при этом	3	19
11	так как	6	18
12	не может	6	17
13	как и	8	16
14	том что	4	16
15	и не	14	16
16	т п	8	16
17	точки зрения	5	15
18	только в	4	14
19	а не	3	13
20	не только	9	13
21	что и	3	13
22	так же	6	12
23	если мы	2	12
24	мы не	3	12
25	в этом	25	12
26	в самом	8	11
27	могут быть	5	11
28	не в	5	11
29	в сущности	3	10
30	того что	2	10
31	потому что	4	10
32	по себе	2	9
33	ни в	8	9
34	как в	6	9
35	никогда не	2	8
36	вместе с	3	8
37	все это	4	8
38	во всяком	3	8
39	что мы	2	8
40	есть в	2	7
41	и его	16	7
42	того чтобы	5	7
43	сказать что	3	7
44	вовсе не	13	6
45	одной стороны	2	6
46	до конца	4	6
47	было бы	2	6
48	если бы	5	6
49	отнюдь не	5	6
50	а в	3	6
51	для того	5	6
52	и даже	2	6
53	в его	13	6
54	формы и	3	5
55	и все	6	5
56	тогда когда	2	5
57	не является	2	5
58	в ее	6	5
59	все же	6	5
60	мы видим	3	5
61	с одной	3	5
62	то время	4	5
63	для нас	2	5
64	совершенно не	2	5
65	по самому	2	5
66	как бы	2	5
67	был бы	3	5
68	в целом	2	5
69	в процессе	4	5
70	оказывается что	2	5
71	и для	4	5
72	то же	11	5
73	с другой	2	5
74	время как	5	5
75	в то	9	5
76	к тому	3	4
77	в которой	2	4
78	в котором	4	4
79	и другие	5	4
80	в виду	3	4
81	прежде всего	15	4
82	в себе	3	4
83	отличие от	2	4
84	по существу	12	4
85	же как	2	4
86	одна из	2	4
87	у него	6	4
88	со всеми	3	4
89	один из	3	4
90	в этих	3	4
91	к этому	3	4
92	те же	2	4
93	для всех	2	4
94	и у	5	4
95	в результате	6	4
96	там где	2	4
97	уже в	2	3
98	совсем не	2	3
99	не могут	3	3
100	с тем	3	3
101	в частности	6	3
102	его и	2	3
103	в своем	4	3
104	точку зрения	2	3
105	что все	2	3
106	вопрос о	2	3
107	стороны и	2	3
108	и к	2	3
109	тому же	2	3
110	но не	5	3
111	смысле слова	2	3
112	до сих	3	3
113	например в	6	3
114	хотя и	3	3
115	он не	5	3
116	сих пор	3	3
117	жизни и	8	3
118	в своей	2	3
119	так и	12	3
120	только на	3	3
121	в отличие	2	3
122	не было	7	3
123	и других	3	3
124	и по	2	3
125	той же	2	3
126	роль в	9	3
127	в таком	3	3
128	в которых	2	3
129	с этим	6	3
130	во всем	2	3
131	все то	2	3
132	в конце	9	3
133	и это	4	3
134	но в	10	3
135	в основе	5	2
136	и как	10	2
137	в них	4	2
138	и характер	2	2
139	имеет в	2	2
140	и во	7	2
141	одного и	5	2
142	человека и	11	2
143	в жизни	6	2
144	в основу	3	2
145	с ним	2	2
146	есть не	3	2
147	а только	2	2
148	или не	2	2
149	уже не	2	2
150	и потому	3	2
151	себя и	3	2
152	в качестве	3	2
153	того же	8	2
154	и может	2	2
155	этого произведения	2	2
156	на один	2	2
157	и их	8	2
158	имеет место	3	2
159	том же	2	2
160	и следовательно	4	2
161	далеко не	2	2
162	к жизни	2	2
163	на почве	2	2
164	в нем	24	2
165	отношение к	2	2
166	но и	8	2
167	как мы	14	2
168	как раз	13	2
169	в связи	5	2
170	этом отношении	3	2
171	на основе	2	2
172	есть только	2	2
173	с точки	2	2
174	в чем	2	2
175	ничего не	9	2
176	нас в	3	2
177	к ним	2	2
178	их в	3	2
179	и с	4	2
180	одно из	3	2
181	и изучает	2	2
182	в каком	2	2
183	и то	4	2
184	ту же	2	2
185	его в	3	2
186	как он	2	2
187	тех же	2	2
188	в одном	3	2
189	как она	2	2
190	или как	4	2
