N	2gram	Medvedev_S_1	Myshleni
1	в этом	5	29
2	и в	3	26
3	не только	3	24
4	то что	2	24
5	таким образом	2	23
6	в том	5	18
7	том что	2	17
8	что в	2	12
9	но и	2	11
10	то же	2	8
11	только в	2	8
12	может быть	2	7
13	в смысле	2	6
14	по отношению	2	6
15	как бы	2	6
16	и что	2	6
17	было бы	2	6
18	отношению к	2	5
19	в конце	2	4
20	в его	3	4
21	нужно было	2	4
22	еще не	2	4
23	это и	2	4
24	не в	3	4
25	и только	3	4
26	все это	7	3
27	исторического развития	2	3
28	очевидно что	2	3
29	и заключается	2	3
30	для нас	3	2
31	по природе	2	2
32	она может	2	2
33	ведь это	2	2
