N	2gram	Berdyaev_N_1	PoTuStor
1	может быть	7	17
2	и в	16	16
3	и пр	3	12
4	прежде всего	4	9
5	в этом	7	9
6	и с	2	8
7	не может	16	8
8	с его	6	7
9	сказать что	3	7
10	не только	5	7
11	и это	2	6
12	и к	5	6
13	конечно не	3	6
14	все эти	2	5
15	что такое	3	5
16	ни в	6	5
17	еще не	3	5
18	в нем	5	4
19	но и	3	4
20	так и	2	4
21	все это	5	4
22	хотя бы	2	4
23	и все	4	4
24	мысли и	2	4
25	и не	11	4
26	и даже	2	4
27	и на	2	4
28	с ее	5	4
29	но в	2	4
30	что в	9	3
31	жизни и	8	3
32	и есть	10	3
33	во всех	3	3
34	могут быть	2	3
35	вместе с	2	3
36	этом смысле	2	3
37	в том	8	3
38	а в	2	3
39	том что	2	3
40	с их	2	3
41	то что	4	3
42	в основе	3	3
43	мира и	2	3
44	как это	2	3
45	и потому	4	3
46	не существует	3	2
47	не менее	4	2
48	нет и	2	2
49	не есть	3	2
50	же как	2	2
51	не будет	7	2
52	нем нет	2	2
53	как не	8	2
54	никогда не	6	2
55	для этого	2	2
56	в них	4	2
57	с этим	2	2
58	в жизни	5	2
59	быть может	4	2
60	не знает	6	2
61	мы не	2	2
62	и т.п	2	2
63	у него	2	2
64	и для	4	2
65	как и	7	2
66	так же	2	2
67	но это	6	2
68	есть в	2	2
69	совсем не	12	2
70	по своему	4	2
71	он не	8	2
72	нашего времени	2	2
73	на протяжении	2	2
74	и мы	4	2
75	о том	4	2
76	за пределы	3	2
77	в своей	3	2
78	к ним	3	2
79	можно назвать	2	2
