N	3gram	Losev_Prob_2	Narrotol
1	в том что	4	8
2	с одной стороны	5	7
3	в том числе	2	6
4	о том что	14	6
5	не может быть	3	5
6	можно сказать что	3	4
7	том числе и	2	4
8	в данном случае	5	4
9	с другой стороны	5	4
10	бы то ни	2	3
11	в то же	4	3
12	тем не менее	12	3
13	сами по себе	2	2
14	так или иначе	6	2
15	том или ином	2	2
16	то или иное	2	2
17	не что иное	3	2
18	в связи с	5	2
19	что иное как	3	2
20	более или менее	4	2
21	в таком случае	10	2
22	не только в	2	2
23	подобно тому как	2	2
24	то есть в	2	2
25	точно так же	3	2
26	можно было бы	2	2
27	того или иного	5	2
