N	2gram	Losev_Dial_4	Mirosoze
1	у достоевского	2	42
2	может быть	17	30
3	не только	8	29
4	и в	15	28
5	не может	11	28
6	но и	4	25
7	а не	18	25
8	в этом	11	20
9	не было	2	18
10	не в	8	16
11	это –	25	16
12	потому что	10	16
13	в ней	5	15
14	в своей	3	15
15	и есть	19	14
16	никогда не	2	14
17	человека и	2	14
18	в нем	5	13
19	и это	8	12
20	в самом	2	11
21	и не	30	11
22	что в	7	10
23	в своем	5	10
24	свободы и	3	10
25	был бы	2	10
26	прежде всего	11	10
27	и все	11	10
28	что он	7	10
29	было бы	9	10
30	и потому	3	10
31	с тем	4	9
32	в его	4	9
33	не есть	40	9
34	и его	7	9
35	в человеке	2	8
36	в котором	2	8
37	в глубине	2	8
38	того что	13	7
39	но в	3	7
40	нет ничего	6	7
41	в себе	8	7
42	должна быть	7	6
43	в том	11	6
44	в этой	4	6
45	все это	9	6
46	лишь в	2	6
47	и на	5	6
48	вместе с	2	6
49	только в	7	6
50	в которой	2	6
51	не могут	2	5
52	это не	12	5
53	– не	5	5
54	от нее	3	5
55	у нас	3	5
56	как и	7	5
57	то что	16	5
58	что есть	2	5
59	нет и	2	5
60	с этой	2	4
61	мог бы	2	4
62	ни с	4	4
63	в их	3	4
64	отношения к	3	4
65	и по	2	4
66	точки зрения	14	4
67	в них	2	4
68	не как	4	4
69	один из	4	4
70	это и	9	4
71	от него	3	4
72	она не	4	4
73	за пределы	3	4
74	что и	6	4
75	есть не	5	4
76	уже не	9	4
77	тем что	2	4
78	значит что	9	4
79	себя и	3	3
80	и вот	11	3
81	это есть	13	3
82	это значит	8	3
83	не мог	2	3
84	но если	5	3
85	и их	2	3
86	в свете	5	3
87	не имеет	14	3
88	должно быть	2	3
89	с этим	3	3
90	– идея	2	3
91	так как	14	3
92	и с	4	3
93	на этом	3	3
94	с его	5	3
95	в жизни	5	3
96	в ее	2	3
97	том что	10	3
98	учение о	5	3
99	есть и	3	3
100	ничего не	17	3
101	что человек	2	3
102	конечно не	2	3
103	себя в	2	3
104	когда он	3	3
105	бы и	3	3
106	– все	3	3
107	хотя бы	4	3
108	прежде чем	2	2
109	мы еще	2	2
110	уже нет	3	2
111	вопрос о	2	2
112	личности но	3	2
113	его как	2	2
114	– значит	2	2
115	мир не	2	2
116	с их	4	2
117	и нет	3	2
118	в свою	3	2
119	для того	5	2
120	и мы	7	2
121	бытия но	3	2
122	есть также	2	2
123	в виду	9	2
124	себе и	2	2
125	жизни и	4	2
126	могут быть	3	2
127	быть не	2	2
128	все эти	3	2
129	и что	9	2
130	есть религия	4	2
131	есть только	3	2
132	также и	4	2
133	сказать что	6	2
134	или от	22	2
135	даже и	3	2
136	в истории	3	2
137	как бы	14	2
138	о том	5	2
139	не значит	2	2
140	бы в	4	2
141	с ним	3	2
142	в основе	10	2
143	а как	2	2
144	если бы	6	2
145	и во	2	2
146	личности в	5	2
147	к этому	3	2
148	мы видим	4	2
149	в то	6	2
150	все что	2	2
151	как будто	2	2
152	никто не	2	2
153	личность и	3	2
154	и когда	2	2
155	о нем	2	2
156	в этот	2	2
157	все же	2	2
158	по сравнению	2	2
159	как в	3	2
160	оказывается что	4	2
161	бы не	2	2
162	истории и	2	2
163	т е	46	2
164	того чтобы	5	2
165	и как	4	2
166	и для	5	2
167	от этого	3	2
168	в каком	5	2
169	отношении к	2	2
