N	2gram	Berdyaev_O_1	Marksizm
1	может быть	11	26
2	и не	13	26
3	не может	4	24
4	и в	19	19
5	и его	4	19
6	в этом	12	16
7	как бы	3	15
8	прежде всего	9	13
9	как и	6	12
10	так и	2	11
11	и для	2	11
12	в самом	5	10
13	в нем	10	10
14	для него	5	9
15	лишь в	7	9
16	но и	13	8
17	не только	11	8
18	все же	2	8
19	то что	5	8
20	все эти	4	7
21	но в	2	7
22	в ее	2	7
23	а не	11	7
24	в том	5	6
25	в его	7	6
26	ничего не	2	6
27	не в	11	5
28	до конца	7	5
29	и потому	2	5
30	и все	10	5
31	к этому	2	5
32	того чтобы	4	5
33	хотя бы	3	5
34	что в	4	4
35	вопрос о	10	4
36	а в	5	4
37	и на	2	4
38	сказать что	2	4
39	жизни в	2	4
40	по себе	2	4
41	еще не	3	4
42	было бы	3	4
43	что же	2	4
44	мысли и	3	4
45	для того	3	4
46	и есть	3	3
47	и от	3	3
48	момент в	2	3
49	все это	6	3
50	не было	9	3
51	того что	3	3
52	не имеет	2	3
53	его в	2	3
54	нет ничего	7	3
55	не могут	3	3
56	различие между	3	3
57	и к	2	3
58	том что	2	3
59	он не	7	3
60	не есть	2	3
61	в своей	2	3
62	в истории	2	3
63	и ее	3	3
64	в которой	2	3
65	никогда не	9	2
66	в своем	2	2
67	что все	2	2
68	все в	4	2
69	в единстве	2	2
70	подойти к	2	2
71	как к	2	2
72	должно быть	2	2
73	в своих	3	2
74	о том	3	2
75	так как	2	2
76	к этой	2	2
77	и с	2	2
78	что он	3	2
79	в себе	3	2
80	от него	7	2
81	есть лишь	4	2
82	не все	2	2
83	что и	2	2
84	нем нет	3	2
85	человека в	11	2
86	что не	4	2
87	и он	8	2
88	тем что	2	2
89	могут быть	3	2
90	в другом	2	2
91	в русской	3	2
