N	2gram	Tiupa_Disk_2	StatiiOP
1	и в	16	29
2	том что	10	27
3	в том	8	27
4	в этом	16	21
5	но и	11	19
6	что в	5	19
7	не только	10	19
8	о том	4	17
9	что он	2	13
10	в его	3	13
11	у пушкина	2	12
12	то что	5	11
13	все это	2	11
14	в своем	5	9
15	так и	9	9
16	этом отношении	4	9
17	и не	15	9
18	как на	3	9
19	потому что	4	9
20	он не	3	9
21	но в	11	8
22	в ней	2	7
23	в котором	3	7
24	в своей	6	7
25	вместе с	2	7
26	не столько	3	7
27	в одном	4	6
28	все же	6	6
29	и его	3	6
30	и на	5	6
31	о чем	2	5
32	прежде всего	7	5
33	в той	2	5
34	в качестве	16	5
35	как бы	4	5
36	своего рода	10	5
37	в языке	2	5
38	а не	14	5
39	между тем	2	5
40	точки зрения	4	5
41	в русской	3	5
42	времени и	2	4
43	именно в	2	4
44	по словам	2	4
45	в частности	12	4
46	с другой	5	4
47	к этому	4	4
48	не в	3	4
49	для него	5	4
50	в нем	7	4
51	дело в	2	4
52	в другом	3	4
53	и с	2	4
54	не менее	7	3
55	же как	2	3
56	на рубеже	3	3
57	в этих	3	3
58	не является	4	3
59	в полном	2	3
60	идет о	2	3
61	одном из	3	3
62	что на	2	3
63	ни в	7	3
64	но это	3	3
65	но не	7	3
66	например в	3	3
67	в обоих	2	3
68	никогда не	2	3
69	из них	3	3
70	другой стороны	2	3
71	как в	8	3
72	а с	5	3
73	не было	3	3
74	с его	6	2
75	в сочетании	2	2
76	в них	3	2
77	что и	2	2
78	к своему	2	2
79	как и	16	2
80	и как	3	2
81	в этой	4	2
82	в то	5	2
83	это еще	2	2
84	такого рода	9	2
85	может быть	16	2
86	а также	8	2
87	еще в	3	2
88	на почве	2	2
89	только в	3	2
90	сочетании с	2	2
91	с той	2	2
92	не к	2	2
93	также и	3	2
94	со стороны	10	2
95	не на	2	2
96	не может	9	2
97	тогда как	11	2
98	то же	6	2
99	все эти	3	2
100	при этом	17	2
101	в отличие	12	2
102	с точки	2	2
103	а к	2	2
104	в данном	7	2
105	в результате	2	2
106	в себе	19	2
107	в период	4	2
108	его в	3	2
109	лирической поэзии	4	2
110	и это	2	2
111	того же	2	2
112	отличие от	12	2
113	в области	2	2
114	говорит об	2	2
