N	2gram	Nazirov_Tr_1	Myslijsy
1	то есть	3	34
2	потому что	2	33
3	то что	4	29
4	может быть	7	26
5	в том	2	23
6	и в	18	23
7	в этом	9	23
8	и не	7	18
9	что в	4	17
10	при этом	3	15
11	как и	5	14
12	в себе	4	14
13	то же	5	14
14	том что	4	12
15	что я	4	11
16	но и	4	11
17	не в	2	11
18	не может	5	11
19	не только	8	10
20	тем что	2	10
21	в своем	3	8
22	о том	2	8
23	но в	6	8
24	с тем	2	7
25	что это	5	7
26	это не	5	7
27	в нем	4	7
28	что и	2	7
29	и что	4	7
30	как в	3	7
31	так и	5	6
32	уже в	3	5
33	так что	2	5
34	для него	3	5
35	в его	3	5
36	как бы	7	5
37	к нему	3	5
38	бы и	2	5
39	все это	4	5
40	должно быть	3	5
41	с ним	3	5
42	и то	2	5
43	не имеет	2	5
44	и все	4	4
45	что все	2	4
46	что он	6	4
47	как же	2	4
48	по поводу	2	4
49	в одном	2	4
50	если б	2	4
51	то и	2	4
52	тем самым	3	4
53	так же	4	4
54	в таком	2	4
55	в данном	2	4
56	в то	5	4
57	его в	2	4
58	и с	7	4
59	никогда не	2	3
60	но это	4	3
61	же время	6	3
62	еще не	4	3
63	было в	2	3
64	к тому	2	3
65	в самом	2	3
66	все эти	3	3
67	уже не	2	3
68	и на	7	3
69	и до	2	3
70	что эти	2	3
71	в первом	2	3
72	я не	4	2
73	не могут	2	2
74	а что	2	2
75	и как	3	2
76	столь же	2	2
77	точно так	2	2
78	в образе	6	2
79	и я	2	2
80	а как	2	2
81	вопрос о	2	2
82	отношение к	2	2
83	и здесь	2	2
84	в ее	2	2
85	об этом	4	2
86	только о	2	2
87	в это	2	2
88	во сне	2	2
89	он не	2	2
90	никто не	3	2
91	один из	3	2
92	и это	2	2
93	в мире	3	2
94	данном случае	2	2
95	что она	2	2
96	этот образ	4	2
97	но эта	2	2
98	и даже	4	2
99	не так	2	2
100	друг друга	2	2
101	и его	6	2
102	в глазах	2	2
103	в виде	2	2
104	одном из	2	2
105	имеет в	2	2
