N	2gram	Nazirov_Vr_1	Problemy
1	и в	8	35
2	из подполья	3	35
3	как бы	4	31
4	и не	5	27
5	что он	4	24
6	в его	3	21
7	но в	6	19
8	не может	2	18
9	к себе	2	18
10	как и	6	18
11	о себе	3	17
12	в нем	6	16
13	то же	5	15
14	и все	7	15
15	но и	7	14
16	для него	2	14
17	может быть	4	14
18	все это	4	14
19	и его	3	14
20	в этом	8	14
21	что я	2	13
22	он не	3	13
23	у достоевского	4	12
24	и с	6	12
25	в то	5	11
26	же время	5	10
27	не только	9	10
28	то что	7	10
29	я не	3	8
30	все же	6	8
31	так же	4	7
32	а в	2	7
33	точки зрения	2	7
34	с ним	4	7
35	с его	3	7
36	еще не	2	7
37	таким образом	2	7
38	он сам	2	6
39	что в	7	6
40	но это	2	6
41	и что	8	6
42	отношение к	2	6
43	что у	3	6
44	и т.п	2	6
45	в конце	3	5
46	в том	3	5
47	и даже	6	5
48	во время	2	5
49	его с	2	5
50	и то	2	5
51	в себе	2	5
52	и это	2	5
53	никогда не	2	4
54	в мире	2	4
55	рядом с	2	4
56	между тем	5	4
57	но он	3	4
58	в эту	2	4
59	но как	2	4
60	его в	3	4
61	у него	5	4
62	как раз	2	4
63	в них	2	4
64	с которым	2	4
65	в своей	2	4
66	в той	2	4
67	и у	3	4
68	тем что	3	4
69	в чем	3	4
70	же не	2	4
71	уже в	4	3
72	в повести	2	3
73	в него	2	3
74	в виду	4	3
75	из них	2	3
76	его и	2	3
77	не мог	2	3
78	это не	4	3
79	и во	3	3
80	в начале	6	3
81	человека с	2	3
82	в котором	6	3
83	эти слова	3	3
84	том что	3	3
85	достоевского в	7	3
86	а с	2	3
87	уже не	2	3
88	не менее	2	2
89	в роман	2	2
90	столь же	2	2
91	это в	2	2
92	мы знаем	2	2
93	при этом	4	2
94	в эти	2	2
95	я хотел	3	2
96	в своем	3	2
97	достоевского и	7	2
98	их в	2	2
99	в ней	4	2
100	о том	4	2
101	в этот	3	2
102	раз в	3	2
103	о нем	6	2
104	вместе с	2	2
105	так в	2	2
106	и он	2	2
107	и как	3	2
108	с точки	2	2
