N	2gram	Propp_Russ_1	Marksizm
1	может быть	8	28
2	и пр	2	25
3	и в	36	19
4	как бы	5	19
5	и не	6	19
6	не может	4	18
7	точки зрения	3	17
8	то же	3	16
9	как мы	10	15
10	в этом	12	15
11	таким образом	6	14
12	не только	22	13
13	с точки	3	13
14	связи с	4	13
15	в нем	2	11
16	но и	16	10
17	том что	19	10
18	так и	7	10
19	при этом	6	9
20	как и	10	9
21	а не	2	9
22	слова в	3	8
23	отнюдь не	2	8
24	только в	4	8
25	в связи	4	7
26	в том	17	7
27	но в	2	7
28	и более	2	7
29	одна из	4	7
30	на самом	2	7
31	и для	2	7
32	к тому	4	6
33	и как	2	6
34	в свою	3	6
35	между тем	7	6
36	во всех	4	6
37	быть и	2	6
38	мы можем	2	6
39	свою очередь	2	5
40	в большинстве	2	5
41	на этой	2	5
42	в их	4	5
43	так же	3	5
44	и на	10	5
45	и здесь	2	5
46	большинстве случаев	2	5
47	к другому	2	5
48	к этому	4	5
49	в его	2	5
50	этого слова	3	5
51	все же	5	5
52	тому что	4	4
53	это не	10	4
54	то что	6	4
55	и их	4	4
56	того что	4	4
57	с ними	5	4
58	в русском	4	4
59	в основном	3	4
60	только на	3	4
61	ничего не	3	4
62	в этих	3	3
63	в какой	2	3
64	в ней	2	3
65	значения и	2	3
66	его и	2	3
67	а в	9	3
68	с этим	2	3
69	все эти	2	3
70	не имеет	6	3
71	а иногда	4	3
72	не было	2	3
73	о том	8	3
74	так как	15	3
75	иногда и	5	3
76	в различных	2	3
77	у нас	8	3
78	в качестве	3	3
79	еще не	4	3
80	и до	2	3
81	что и	7	3
82	могут быть	2	3
83	независимо от	2	2
84	что в	19	2
85	что это	3	2
86	в нашем	2	2
87	иное как	2	2
88	на все	2	2
89	его к	2	2
90	в тех	4	2
91	он был	2	2
92	нас не	2	2
93	что они	7	2
94	но что	2	2
95	до конца	2	2
96	о чем	3	2
97	и у	5	2
98	и непосредственно	2	2
99	в своем	3	2
100	в особенности	2	2
101	в более	2	2
102	и с	2	2
103	то есть	3	2
104	но они	3	2
105	у него	2	2
106	в жизни	2	2
107	так называемой	3	2
108	значение и	2	2
109	не с	3	2
110	но не	2	2
111	мы увидим	8	2
112	и потому	2	2
113	приводит к	3	2
114	не на	2	2
115	а с	4	2
116	мы не	6	2
117	или в	2	2
118	тем что	4	2
119	в виде	6	2
120	далеко не	3	2
121	там где	2	2
122	вместе с	10	2
