N	2gram	Ircho_Kome_1	Marksizm
1	может быть	9	28
2	и в	22	19
3	и не	8	19
4	не может	2	18
5	точки зрения	4	17
6	то же	6	16
7	и его	8	16
8	как мы	4	15
9	в этом	3	15
10	таким образом	8	14
11	в сущности	2	14
12	не только	10	13
13	в нем	4	11
14	вовсе не	2	11
15	не в	6	10
16	но и	11	10
17	том что	12	10
18	так и	5	10
19	при этом	5	9
20	как и	9	9
21	же время	4	8
22	по отношению	3	8
23	в то	10	8
24	отношению к	3	8
25	только в	3	8
26	в том	11	7
27	его в	3	7
28	но в	4	7
29	прежде всего	5	7
30	одна из	2	7
31	к тому	6	6
32	ни в	6	6
33	и как	3	6
34	в свою	2	6
35	в самом	2	6
36	ни было	2	6
37	же самое	2	6
38	и все	3	6
39	между тем	5	6
40	мы можем	4	6
41	то ни	2	5
42	к нему	2	5
43	в форме	2	5
44	в их	4	5
45	так же	3	5
46	и на	3	5
47	и здесь	2	5
48	к этому	4	5
49	того же	2	5
50	в его	5	5
51	все же	3	5
52	в отношении	6	4
53	на то	3	4
54	слова о	2	4
55	то что	2	4
56	и тем	2	4
57	мы видели	2	4
58	бы то	2	4
59	как раз	3	4
60	что он	6	4
61	было бы	2	4
62	для себя	2	4
63	и ее	3	4
64	в себе	2	4
65	ничего не	3	4
66	столь же	2	3
67	с другой	5	3
68	да и	3	3
69	здесь мы	3	3
70	в этой	7	3
71	одной стороны	3	3
72	за пределы	2	3
73	в котором	4	3
74	а в	6	3
75	с одной	3	3
76	в другом	4	3
77	и формы	2	3
78	чем же	2	3
79	в истории	5	3
80	о том	8	3
81	так как	4	3
82	у нас	3	3
83	в качестве	4	3
84	до сих	2	3
85	еще не	2	3
86	одной из	3	3
87	не к	2	3
88	он не	3	3
89	относится к	2	3
90	что и	4	3
91	только что	2	3
92	во всяком	2	3
93	могут быть	3	3
94	отличие от	2	3
95	сих пор	2	3
96	место в	3	2
97	уже в	5	2
98	независимо от	2	2
99	что в	6	2
100	все более	3	2
101	на все	2	2
102	вопрос о	3	2
103	на такое	2	2
104	в тех	3	2
105	как из	3	2
106	мы знаем	2	2
107	он был	2	2
108	тому же	6	2
109	из всего	2	2
110	что они	4	2
111	до конца	2	2
112	и у	3	2
113	и самого	2	2
114	или может	2	2
115	всяком случае	2	2
116	именно в	4	2
117	мы встречаем	5	2
118	и даже	5	2
119	не следует	2	2
120	в более	3	2
121	и с	3	2
122	в начале	3	2
123	у него	3	2
124	но не	2	2
125	здесь в	3	2
126	ли это	2	2
127	и о	3	2
128	и особенно	4	2
129	или менее	2	2
130	мы не	3	2
131	или в	2	2
132	тем что	4	2
133	в виде	3	2
134	на протяжении	4	2
135	вместе с	2	2
