N	3gram	Losev_Prob_3	Myshleni
1	в том что	9	31
2	заключается в том	3	14
3	с точки зрения	2	11
4	мы могли бы	3	9
5	с другой стороны	5	8
6	то же самое	7	7
7	одно и то	3	6
8	и то же	4	6
9	можно было бы	3	5
10	на первый план	2	4
11	же как и	2	4
12	в первую очередь	3	4
13	и тем самым	2	4
14	этой точки зрения	2	4
15	и то что	7	4
16	по сравнению с	2	3
17	точно так же	3	3
18	о том что	3	3
19	в этом случае	5	3
20	с первого взгляда	3	3
21	в связи с	7	3
22	во всяком случае	6	3
23	в данном случае	7	2
24	в том смысле	3	2
25	в отличие от	2	2
26	и только в	2	2
27	как мы видели	2	2
28	содержит в себе	3	2
29	в том виде	2	2
30	в настоящее время	2	2
31	но и в	2	2
32	это значит что	2	2
