N	3gram	Bakhtin_Pr_1	Dialekti
1	с точки зрения	6	12
2	в том что	3	7
3	то же время	3	4
4	в то же	3	4
5	можно было бы	3	4
6	с другой стороны	4	4
7	не может и	2	3
8	той или иной	2	3
9	можно сказать что	2	3
10	не может быть	11	3
11	в этом смысле	3	3
12	точки зрения самого	2	2
13	и не должна	2	2
14	ни в чем	2	2
15	никогда не может	2	2
16	может и не	2	2
17	и в то	2	2
18	с одной стороны	3	2
19	и т п	13	2
20	и в нем	3	2
21	и в частности	2	2
22	в этом отношении	2	2
23	мы можем сказать	2	2
24	на самом деле	3	2
25	то или иное	2	2
