N	3gram	Losev_Dial_2	VeschiIm
1	и т д	15	20
2	не может быть	3	18
3	это значит что	8	17
4	не что иное	3	8
5	что иное как	3	8
6	т д и	2	7
7	т е в	3	7
8	д и т	2	7
9	по крайней мере	9	6
10	может быть только	2	6
11	в том что	6	6
12	не есть ни	6	6
13	одно и то	4	5
14	тем не менее	2	5
15	есть не что	2	5
16	содержит в себе	3	5
17	и то же	4	5
18	то же время	4	4
19	не есть только	3	4
20	не только в	2	4
21	с точки зрения	8	4
22	в то же	3	4
23	от того что	2	4
24	в самом деле	3	3
25	более или менее	2	3
26	само по себе	2	3
27	сама по себе	7	3
28	и не только	5	3
29	только то что	4	3
30	сам по себе	3	3
31	есть нечто совершенно	2	2
32	не может не	3	2
33	как бы ни	2	2
34	не есть ли	4	2
35	можно сказать что	3	2
36	в данном случае	2	2
37	есть не просто	2	2
38	и в частности	2	2
39	так или иначе	2	2
