N	2gram	Propp_Isto_1	Literetu
1	не только	12	24
2	при этом	3	19
3	в качестве	5	17
4	но и	10	17
5	а не	15	16
6	в том	9	16
7	в частности	2	15
8	том что	7	14
9	может быть	25	13
10	и не	9	12
11	в этом	8	12
12	прежде всего	10	11
13	в своем	5	11
14	то что	9	10
15	в русской	2	10
16	не в	9	8
17	в целом	2	8
18	и в	28	8
19	только в	11	8
20	как это	3	8
21	не менее	6	7
22	я не	3	7
23	в его	5	7
24	как бы	2	7
25	уже не	3	7
26	отказ от	2	7
27	в себе	2	7
28	в рамках	2	6
29	как и	4	6
30	связи с	4	6
31	себя в	2	6
32	того что	4	6
33	xix века	2	6
34	что он	10	5
35	в конечном	2	5
36	как в	2	5
37	не может	15	5
38	то же	12	5
39	в отличие	2	5
40	одним из	2	5
41	в то	3	5
42	отличие от	2	5
43	для этого	3	4
44	столь же	2	4
45	это не	7	4
46	в силу	5	4
47	представляет собой	4	4
48	но не	5	4
49	еще не	7	4
50	еще в	2	4
51	и тем	2	4
52	все же	10	4
53	из них	3	4
54	со стороны	2	4
55	так и	9	4
56	никогда не	14	4
57	в связи	4	4
58	и его	3	4
59	ведет к	2	4
60	как раз	2	4
61	не как	3	4
62	в этой	6	4
63	в основе	4	3
64	что в	12	3
65	с другой	6	3
66	не должен	5	3
67	одна из	2	3
68	в пределах	4	3
69	например в	5	3
70	один из	4	3
71	и др	7	3
72	исходит из	3	3
73	всего в	2	3
74	в их	3	3
75	приводит к	2	3
76	по отношению	3	3
77	а в	7	3
78	таким образом	8	3
79	еще и	2	3
80	и даже	4	3
81	потому что	4	3
82	но в	8	3
83	по своей	2	3
84	также и	3	3
85	его в	6	3
86	дело в	3	3
87	в области	2	3
88	на этом	3	2
89	должна быть	5	2
90	по этому	2	2
91	однако в	2	2
92	именно так	2	2
93	превращается в	4	2
94	дело не	5	2
95	их не	2	2
96	раз и	3	2
97	к тому	6	2
98	а только	2	2
99	тем не	6	2
100	в другом	3	2
101	для него	2	2
102	одной стороны	4	2
103	было бы	7	2
104	мы в	2	2
105	относится к	2	2
106	даже в	4	2
107	должен быть	3	2
108	в нем	2	2
109	то это	3	2
110	не есть	2	2
111	отношению к	3	2
112	то он	2	2
113	эта мысль	3	2
114	то и	2	2
115	не на	2	2
116	и только	2	2
117	с одной	4	2
118	все эти	4	2
119	чтобы не	3	2
120	что не	2	2
121	что такое	2	2
122	хотя бы	4	2
123	во многих	2	2
124	можно было	5	2
125	между тем	2	2
126	тем что	3	2
127	могут быть	4	2
128	как будто	4	2
129	как правило	4	2
130	на это	2	2
131	о том	9	2
132	как он	2	2
133	а для	2	2
