N	3gram	Tiupa_Disk_1	Analitik
1	не может быть	3	16
2	в том что	13	9
3	в то же	3	8
4	в том чтобы	2	7
5	в отличие от	4	6
6	то же время	4	6
7	той или иной	3	6
8	по отношению к	9	5
9	не более чем	2	4
10	мы имеем дело	2	4
11	к тому же	4	4
12	большей или меньшей	2	4
13	в том числе	2	3
14	а не в	2	3
15	состоит в том	2	3
16	подобно тому как	2	3
17	не в том	3	3
18	с одной стороны	9	3
19	о том что	5	3
20	сами по себе	2	2
21	в данном случае	2	2
22	в начале х	2	2
23	не сводится к	2	2
24	по природе своей	5	2
25	одного и того	2	2
26	то же самое	2	2
27	в силу своей	2	2
28	в основе своей	2	2
29	и того же	2	2
30	с другой стороны	3	2
