N	2gram	Berdyaev_N_1	StatiiOP
1	и в	16	44
2	в том	8	36
3	что в	9	30
4	том что	2	29
5	в этом	7	21
6	то что	4	18
7	не только	5	18
8	а в	2	17
9	о том	4	17
10	и не	11	16
11	а не	17	16
12	может быть	7	15
13	как в	3	13
14	можно было	2	13
15	не в	6	12
16	того чтобы	2	11
17	но и	3	10
18	но в	2	10
19	с другой	3	9
20	в то	2	9
21	как и	7	9
22	так и	2	9
23	во всех	3	8
24	не может	16	8
25	это не	4	8
26	я не	2	7
27	прежде всего	4	7
28	другой стороны	2	7
29	сказать что	3	7
30	потому что	4	6
31	но это	6	6
32	в своей	3	6
33	хотя бы	2	6
34	не менее	4	5
35	никогда не	6	5
36	такой же	2	5
37	так же	2	5
38	в нем	5	5
39	жизни и	8	5
40	все это	5	5
41	и даже	2	5
42	могут быть	2	5
43	все эти	2	5
44	что она	2	4
45	вопрос о	3	4
46	в ее	3	4
47	это и	2	4
48	но я	2	4
49	и что	2	4
50	в россии	3	4
51	не было	4	4
52	в новом	2	4
53	не имеет	4	4
54	как будто	2	4
55	как это	2	4
56	в основе	3	3
57	не существует	3	3
58	и с	2	3
59	стремление к	2	3
60	я уже	2	3
61	должна быть	3	3
62	ни в	6	3
63	же как	2	3
64	но не	2	3
65	еще не	3	3
66	и для	4	3
67	в ней	5	3
68	не значит	3	3
69	должен быть	5	3
70	в истории	3	3
71	с одной	2	3
72	лишь в	6	3
73	эпохи и	4	3
74	значит что	4	3
75	культуры в	5	3
76	ведь и	2	3
77	с этим	2	3
78	что все	2	2
79	совсем не	12	2
80	и творчества	2	2
81	быть в	2	2
82	право и	3	2
83	по существу	2	2
84	есть в	2	2
85	она не	3	2
86	одной стороны	2	2
87	за пределы	3	2
88	но для	2	2
89	должно было	2	2
90	и потому	4	2
91	такого рода	2	2
92	можно назвать	2	2
93	конечно не	3	2
94	для этого	2	2
95	в эпоху	9	2
96	мы не	2	2
97	не знает	6	2
98	думать что	2	2
99	у него	2	2
100	он не	8	2
101	в себе	2	2
102	не могла	2	2
103	и все	4	2
104	и это	2	2
105	время как	2	2
