N	2gram	Nazirov_Vr_1	Tvorches
1	у достоевского	4	28
2	и в	8	21
3	как бы	4	17
4	в то	5	15
5	в его	3	13
6	из подполья	3	13
7	то же	5	13
8	что в	7	12
9	как и	6	12
10	же время	5	12
11	достоевского в	7	12
12	с его	3	11
13	том что	3	11
14	подпольного человека	4	11
15	м м	2	11
16	в романе	6	10
17	все это	4	10
18	достоевского с	9	8
19	он не	3	8
20	то что	7	8
21	во многом	4	7
22	у него	5	7
23	что достоевский	4	7
24	в свою	2	7
25	в том	3	7
26	при этом	4	7
27	не только	9	7
28	и не	5	7
29	в году	18	7
30	но в	6	7
31	он сам	2	6
32	что он	4	6
33	и все	7	6
34	достоевского не	4	6
35	не менее	2	6
36	для него	2	6
37	записки из	2	6
38	в котором	6	6
39	человека в	3	6
40	а в	2	6
41	и его	3	6
42	в этом	8	6
43	о том	4	6
44	отнюдь не	2	5
45	по нашему	3	5
46	но это	2	5
47	в повести	2	5
48	может быть	4	5
49	в этой	2	5
50	молодого достоевского	2	5
51	все же	6	5
52	и наказания	2	5
53	таким образом	2	5
54	в своих	4	5
55	в русской	3	5
56	в своем	3	4
57	в мире	2	4
58	и как	3	4
59	достоевский не	3	4
60	одним из	3	4
61	в своей	2	4
62	русской литературе	3	4
63	не может	2	4
64	это не	4	4
65	в момент	2	4
66	место в	2	3
67	уже в	4	3
68	никогда не	2	3
69	я не	3	3
70	это в	2	3
71	с ним	4	3
72	достоевский и	8	3
73	достоевский в	8	3
74	что я	2	3
75	в нем	6	3
76	но и	7	3
77	достоевского и	7	3
78	в бесах	10	3
79	уже не	2	3
80	по мнению	2	3
81	там же	2	3
82	и даже	6	3
83	из повести	2	3
84	так же	4	3
85	достоевского к	3	3
86	и с	6	3
87	в россии	5	3
88	далеко не	3	3
89	в россию	4	2
90	эти слова	3	2
91	к этому	3	2
92	этот роман	2	2
93	с которым	2	2
94	в в	2	2
95	об этом	5	2
96	достоевского он	2	2
97	одна из	2	2
98	году в	2	2
99	в нашей	2	2
100	из них	2	2
101	время он	2	2
102	неточку незванову	2	2
103	в ней	4	2
104	в него	2	2
105	году достоевский	2	2
106	вместе с	2	2
107	и далее	2	2
108	и достоевский	2	2
109	не мог	2	2
110	и у	3	2
111	и он	2	2
112	в черновиках	3	2
113	но он	3	2
114	сам достоевский	3	2
115	в себе	2	2
116	при помощи	2	2
117	человека с	2	2
118	в чем	3	2
119	в виду	4	2
