N	2gram	Bakhtin_Pr_5	Otkroven
1	у него	4	22
2	у достоевского	12	19
3	и в	35	19
4	но и	14	13
5	и не	27	13
6	в этом	14	12
7	из подполья	35	11
8	а не	4	11
9	не в	10	11
10	может быть	14	11
11	не только	10	11
12	и все	15	10
13	вопрос о	2	10
14	в нем	16	10
15	никогда не	4	9
16	потому что	8	9
17	прежде всего	12	9
18	и он	2	8
19	лишь в	7	7
20	но он	4	7
21	до конца	4	7
22	от него	6	7
23	ивана карамазова	4	7
24	он не	13	7
25	в его	21	7
26	все это	14	6
27	как и	18	6
28	то что	10	5
29	а в	7	5
30	записок из	3	5
31	достоевского и	2	5
32	отношение к	6	5
33	в том	5	5
34	для достоевского	2	5
35	для него	14	5
36	в самом	6	5
37	в творчестве	4	5
38	его мысли	2	4
39	с его	7	4
40	и мысли	3	4
41	он сам	6	4
42	что не	4	4
43	и его	14	4
44	все эти	3	4
45	человек и	4	4
46	не может	18	4
47	что в	6	4
48	него и	3	4
49	в романах	5	4
50	к нему	13	3
51	достоевского в	3	3
52	в этих	2	3
53	романах достоевского	4	3
54	это не	3	3
55	и вот	4	3
56	что он	24	3
57	того что	3	3
58	хотя бы	2	3
59	еще не	7	3
60	и от	3	3
61	в себе	5	3
62	было бы	3	3
63	когда он	3	3
64	о том	2	3
65	с ним	7	3
66	в записках	2	3
67	как бы	31	3
68	это было	2	3
69	в этот	2	2
70	ивана и	2	2
71	уже в	3	2
72	все же	8	2
73	что и	3	2
74	он в	4	2
75	в душе	2	2
76	и для	8	2
77	с тем	3	2
78	достоевского нет	3	2
79	так и	8	2
80	в своем	2	2
81	что у	6	2
82	иван карамазов	2	2
83	что же	7	2
84	как к	5	2
85	что все	2	2
86	по себе	4	2
87	и к	12	2
88	должно быть	3	2
89	в ее	3	2
90	в которой	2	2
91	самое главное	2	2
92	том что	3	2
93	так что	5	2
94	в другом	12	2
95	и на	6	2
96	и то	5	2
97	что они	6	2
98	сказать что	3	2
99	и с	12	2
100	совсем не	3	2
101	тем что	4	2
102	даже и	3	2
103	его в	4	2
104	героев достоевского	3	2
105	в своей	4	2
106	и ни	2	2
107	так как	4	2
108	ничего не	3	2
109	хотя и	2	2
110	к ней	2	2
111	но в	19	2
112	много раз	2	2
