N	2gram	Berdyaev_M_2	DiskursI
1	в себе	10	19
2	и в	46	16
3	может быть	21	16
4	как и	13	16
5	в этом	20	16
6	и не	18	15
7	а не	13	14
8	в мире	7	11
9	но и	15	11
10	но в	10	11
11	том что	4	10
12	не только	18	10
13	такого рода	2	9
14	так и	4	9
15	не может	15	9
16	в том	3	8
17	как в	7	8
18	прежде всего	12	7
19	в нем	22	7
20	ни в	3	7
21	с его	4	6
22	себя в	4	6
23	в своей	5	6
24	то же	5	6
25	в своих	3	6
26	по своей	3	6
27	что в	4	5
28	в своем	8	5
29	для него	18	5
30	то что	5	5
31	и на	3	5
32	как бы	8	4
33	отношению к	2	4
34	по отношению	2	4
35	человека в	14	4
36	потому что	12	4
37	в основе	2	4
38	точки зрения	2	4
39	в этой	7	4
40	о том	3	4
41	я и	2	4
42	жизни в	3	3
43	в этих	2	3
44	в них	3	3
45	это не	5	3
46	и все	5	3
47	в пределе	2	3
48	было в	3	3
49	или иной	2	3
50	уже не	4	3
51	не в	9	3
52	мысль о	2	3
53	он не	10	3
54	в его	5	3
55	в русской	6	3
56	еще в	2	3
57	принадлежит к	2	3
58	жизни и	6	3
59	жизни а	2	3
60	но она	2	3
61	не было	11	3
62	также и	4	3
63	и его	5	3
64	ведет к	13	3
65	но это	8	3
66	не знает	9	3
67	как будто	2	3
68	только в	3	3
69	его в	3	3
70	в творчестве	3	3
71	место в	2	2
72	же как	3	2
73	жизни не	2	2
74	другого в	2	2
75	никогда не	18	2
76	бессмертие и	2	2
77	личности в	2	2
78	момент в	3	2
79	с таким	2	2
80	к которой	3	2
81	интерес к	2	2
82	что он	7	2
83	есть в	3	2
84	отношение к	8	2
85	со своим	2	2
86	в ней	11	2
87	на почве	3	2
88	что и	4	2
89	не к	2	2
90	вместе с	2	2
91	что же	2	2
92	человеческой жизни	2	2
93	чем не	2	2
94	по преимуществу	5	2
95	к своему	2	2
96	более чем	2	2
97	и для	7	2
98	должно быть	2	2
99	а в	2	2
100	той же	3	2
101	тому как	2	2
102	и с	3	2
103	не о	2	2
104	подобно тому	2	2
105	и это	5	2
106	между тем	2	2
