N	2gram	Bakhtin_Fr_6	UchenyiS
1	и в	41	14
2	а не	2	10
3	не только	10	10
4	и не	3	8
5	прежде всего	10	8
6	то что	10	7
7	в этом	12	7
8	не может	4	7
9	в искусстве	3	6
10	может быть	2	6
11	все это	11	5
12	то же	5	5
13	но и	13	4
14	в этой	8	4
15	конечно не	3	4
16	с другой	4	4
17	но в	8	3
18	как и	7	3
19	и то	2	3
20	все же	4	3
21	в своей	2	3
22	в частности	2	3
23	для этого	2	3
24	же время	5	3
25	другой стороны	2	3
26	в то	6	3
27	было бы	3	3
28	в области	2	3
29	у нас	4	3
30	но конечно	2	2
31	том что	7	2
32	но не	2	2
33	в том	2	2
34	мы не	2	2
35	с его	5	2
36	не в	4	2
37	всех этих	2	2
38	и для	3	2
39	но это	3	2
40	должна быть	2	2
41	литературы и	2	2
42	это уже	2	2
43	только в	3	2
44	и с	16	2
45	тем что	5	2
46	сих пор	3	2
47	что он	6	2
48	все они	2	2
49	и у	2	2
50	в себе	5	2
51	как раз	2	2
52	до сих	3	2
53	что мы	2	2
54	в конце	2	2
55	что все	2	2
56	этом отношении	3	2
57	в самом	10	2
58	не могут	2	2
59	меньшей степени	4	2
60	превращается в	2	2
61	одним из	4	2
62	самом деле	4	2
63	в его	7	2
64	между тем	2	2
65	на первый	3	2
66	таким образом	17	2
67	это было	2	2
