N	2gram	Berdyaev_V_1	Marksizm
1	и не	20	26
2	и в	16	19
3	в этом	4	16
4	как бы	5	15
5	прежде всего	2	13
6	как и	4	12
7	так и	4	11
8	и для	3	11
9	в нем	4	10
10	для него	2	9
11	лишь в	3	9
12	только в	2	9
13	но и	5	8
14	не только	2	8
15	то что	9	8
16	все эти	3	7
17	но в	3	7
18	во всех	3	7
19	а не	7	7
20	в том	3	6
21	в его	4	6
22	мы не	2	6
23	в конце	3	5
24	не в	3	5
25	конечно не	2	5
26	и потому	7	5
27	и все	4	5
28	того чтобы	2	5
29	хотя бы	3	5
30	во всяком	2	5
31	что в	3	4
32	в ней	4	4
33	а в	2	4
34	тот же	3	4
35	еще не	8	4
36	нет и	2	4
37	не будет	2	4
38	и есть	4	3
39	в котором	4	3
40	все это	5	3
41	не было	3	3
42	того что	5	3
43	не имеет	3	3
44	между тем	2	3
45	нет ничего	3	3
46	не могут	2	3
47	том что	2	3
48	не есть	6	3
49	в своей	3	3
50	в истории	8	3
51	является в	2	3
52	и это	2	3
53	должна быть	3	2
54	никогда не	3	2
55	что во	3	2
56	тому что	3	2
57	что все	4	2
58	его к	2	2
59	ни в	3	2
60	людей так	2	2
61	жизни и	3	2
62	должно быть	3	2
63	можно было	2	2
64	нет еще	2	2
65	так как	9	2
66	от этого	3	2
67	для них	2	2
68	и во	2	2
69	что он	4	2
70	по которым	2	2
71	одна из	2	2
72	от него	2	2
73	они и	2	2
74	к тому	3	2
75	что и	3	2
76	нем нет	2	2
77	бы и	3	2
78	что не	4	2
79	тем что	2	2
80	могут быть	2	2
81	в чем	3	2
