N	2gram	Tiupa_Narr_2	Tragedij
1	и в	13	18
2	в этом	13	9
3	не только	26	8
4	он сам	2	7
5	и не	14	7
6	может быть	10	7
7	как бы	6	7
8	что он	5	6
9	и его	3	6
10	же время	3	6
11	у него	6	6
12	но в	6	6
13	все же	6	5
14	что это	4	5
15	так и	9	5
16	это не	3	5
17	не может	8	5
18	то же	4	5
19	как и	4	5
20	в то	5	5
21	несмотря на	2	5
22	но и	15	4
23	то что	8	4
24	в целом	3	4
25	что в	4	4
26	я не	5	4
27	прежде всего	6	4
28	и все	4	4
29	в нем	5	4
30	и даже	3	4
31	так же	2	4
32	том что	13	4
33	но это	2	4
34	в этой	4	4
35	что я	3	4
36	и что	2	4
37	в себе	8	4
38	еще не	2	4
39	об этом	4	4
40	один из	3	3
41	о чем	2	3
42	отнюдь не	4	3
43	в своем	6	3
44	в конце	4	3
45	как в	5	3
46	все эти	3	3
47	тем самым	5	3
48	и он	2	3
49	в его	6	3
50	что с	2	3
51	для него	4	3
52	при этом	14	3
53	и сам	3	3
54	своего рода	9	3
55	в мире	4	3
56	как это	4	3
57	с ним	4	3
58	то есть	9	3
59	это был	2	2
60	не имеет	2	2
61	перед нами	4	2
62	от всего	2	2
63	что и	2	2
64	в душе	2	2
65	только к	3	2
66	в частности	11	2
67	в отличие	5	2
68	и личность	2	2
69	данном случае	6	2
70	в самую	2	2
71	то и	3	2
72	но при	4	2
73	а как	3	2
74	уже не	4	2
75	с его	3	2
76	к тому	9	2
77	столь же	2	2
78	и здесь	2	2
79	в ее	4	2
80	в том	14	2
81	говорит о	2	2
82	отличие от	5	2
83	в таком	3	2
84	не в	8	2
85	в глазах	4	2
86	точно так	2	2
87	в данном	10	2
88	в рассказе	4	2
89	не случайно	2	2
90	одна из	3	2
91	потому что	2	2
92	в виде	2	2
93	как у	4	2
94	по поводу	2	2
95	жизнью и	2	2
96	по словам	2	2
97	о том	5	2
98	в самом	2	2
99	во сне	2	2
100	о жизни	4	2
101	ничего не	6	2
102	он не	5	2
103	что она	2	2
104	никогда не	6	2
