N	2gram	Ircho_Kome_3	DiskursI
1	в себе	4	19
2	при этом	7	17
3	состоит в	2	16
4	в качестве	2	16
5	и в	22	16
6	может быть	6	16
7	как и	3	16
8	в этом	8	16
9	и не	21	15
10	а не	4	14
11	в частности	3	12
12	отличие от	2	12
13	в мире	2	11
14	представляет собой	3	11
15	но и	4	11
16	но в	5	11
17	том что	13	10
18	не только	5	10
19	со стороны	11	10
20	так и	4	9
21	не может	3	9
22	в том	12	8
23	а также	2	8
24	как в	2	8
25	не менее	5	7
26	прежде всего	5	7
27	в нем	3	7
28	ни в	10	7
29	при всей	2	7
30	с его	3	6
31	отнюдь не	4	6
32	еще не	6	6
33	все же	4	6
34	в своей	5	6
35	то же	7	6
36	в своих	2	6
37	что в	5	5
38	в своем	8	5
39	с другой	4	5
40	нового времени	2	5
41	же время	5	5
42	то что	4	5
43	и на	2	5
44	в то	6	5
45	в одном	2	4
46	одного из	3	4
47	к этому	6	4
48	в пределах	2	4
49	одной стороны	3	4
50	как бы	3	4
51	отношению к	3	4
52	по отношению	5	4
53	этом отношении	2	4
54	с одной	3	4
55	человека в	2	4
56	роль в	2	4
57	потому что	10	4
58	в основе	2	4
59	точки зрения	4	4
60	в этой	3	4
61	о том	8	4
62	не является	4	4
63	в них	3	3
64	столь же	3	3
65	это не	2	3
66	и все	2	3
67	не в	4	3
68	он не	5	3
69	в его	8	3
70	в котором	2	3
71	из них	5	3
72	и ее	2	3
73	приводит к	3	3
74	не было	2	3
75	и его	6	3
76	в другом	2	3
77	не знает	3	3
78	его в	8	3
79	что ни	3	2
80	никогда не	3	2
81	а сам	2	2
82	в целом	3	2
83	это в	2	2
84	этом случае	2	2
85	стороны и	2	2
86	идет о	3	2
87	этот человек	2	2
88	что он	8	2
89	перед лицом	2	2
90	того же	6	2
91	отношение к	5	2
92	о чем	7	2
93	в ней	4	2
94	о любви	2	2
95	далеко не	3	2
96	в свое	2	2
97	не с	2	2
98	что и	8	2
99	с точки	3	2
100	вместе с	9	2
101	к своему	2	2
102	который по	2	2
103	все это	5	2
104	более чем	5	2
105	другой стороны	2	2
106	и для	4	2
107	а в	7	2
108	тут же	4	2
109	в результате	2	2
110	их в	3	2
111	и с	4	2
112	не о	3	2
113	говорить о	3	2
114	и это	2	2
115	здесь не	2	2
116	в области	2	2
117	между тем	2	2
118	но при	2	2
