N	2gram	Tiupa_Anal_2	KFilosof
1	может быть	6	43
2	в его	2	39
3	не может	4	27
4	и не	12	26
5	по отношению	4	25
6	и в	16	22
7	в котором	2	21
8	отношению к	4	21
9	в себе	7	21
10	не есть	2	19
11	а не	10	17
12	и его	4	17
13	только в	4	16
14	точки зрения	4	13
15	в этом	18	13
16	для него	4	12
17	но не	4	12
18	в своей	2	11
19	не в	4	11
20	в своем	4	10
21	все это	4	10
22	во всех	4	10
23	с точки	2	10
24	в целом	8	9
25	но и	12	9
26	в их	3	9
27	как бы	10	9
28	и все	3	9
29	для нее	2	9
30	и для	2	9
31	лишь в	9	8
32	если бы	3	8
33	было бы	3	8
34	момент его	2	8
35	со стороны	3	8
36	на основе	2	7
37	вовсе не	2	7
38	что и	3	7
39	то что	7	7
40	себя в	2	7
41	в себя	4	7
42	и я	2	6
43	в том	12	6
44	в мире	6	6
45	отнюдь не	8	6
46	и их	2	6
47	он не	2	6
48	уже не	4	6
49	никогда не	3	5
50	но эта	2	5
51	то же	4	5
52	его как	2	5
53	в контексте	5	5
54	именно в	3	5
55	не имеет	2	5
56	его в	2	5
57	с ним	2	5
58	но в	6	5
59	не знает	3	5
60	как и	14	5
61	не только	16	5
62	мы имеем	3	5
63	место в	3	4
64	что в	2	4
65	при этом	10	4
66	с ними	3	4
67	между тем	2	4
68	в одном	2	4
69	том что	12	4
70	а в	3	4
71	тем самым	4	4
72	и т.д	3	4
73	не менее	4	3
74	из его	2	3
75	и тем	4	3
76	того что	2	3
77	и на	6	3
78	в то	2	3
79	того или	3	3
80	о том	7	3
81	этом смысле	2	3
82	или иного	3	3
83	еще не	2	3
84	тем что	3	3
85	вступает в	2	3
86	могут быть	10	3
87	ничего не	9	3
88	прежде всего	3	2
89	вследствие этого	2	2
90	или иной	3	2
91	ему в	3	2
92	тем не	3	2
93	соответствии с	2	2
94	же время	2	2
95	не о	2	2
96	по себе	2	2
97	он и	2	2
98	той или	3	2
99	говорить о	6	2
100	в сознании	4	2
101	я и	3	2
102	я его	2	2
103	а как	2	2
104	и то	3	2
105	к этому	2	2
106	и смерти	4	2
107	в соответствии	2	2
108	в качестве	11	2
109	имеют место	2	2
110	этого слова	3	2
111	жизни но	2	2
112	дело не	2	2
113	так и	15	2
114	как в	4	2
115	это только	2	2
116	еще более	2	2
117	сводится к	3	2
118	смысловой значимости	2	2
119	в данном	8	2
120	в этой	9	2
121	едва ли	3	2
