N	2gram	Bakhtin_sl_1	Problema
1	то есть	26	46
2	в его	13	43
3	и не	16	42
4	и в	41	38
5	и проч	2	28
6	не может	14	27
7	может быть	14	26
8	как бы	12	22
9	и с	4	17
10	и его	14	16
11	в нем	30	15
12	в этом	12	15
13	и т	28	14
14	прежде всего	8	13
15	только в	6	13
16	т п	23	13
17	за пределы	4	12
18	но не	2	12
19	во всех	17	11
20	и для	4	11
21	к нему	5	10
22	отношение к	7	10
23	в их	4	10
24	таким образом	9	10
25	в поэзии	3	9
26	но и	16	9
27	его в	3	9
28	не только	16	9
29	имеет дело	2	9
30	в том	3	8
31	и др	14	8
32	точки зрения	16	8
33	произведения как	3	8
34	было бы	3	8
35	входит в	4	8
36	слова в	8	7
37	с другой	5	7
38	вообще не	3	7
39	не в	7	7
40	в самом	5	7
41	между тем	2	7
42	как и	4	7
43	еще не	4	7
44	совершенно не	2	7
45	в своей	7	7
46	как мы	8	7
47	в плане	6	7
48	в пределах	14	6
49	и наконец	4	6
50	а в	6	6
51	не есть	2	6
52	все же	7	6
53	с точки	8	6
54	и этим	3	6
55	там где	4	6
56	ничего не	4	6
57	то же	14	5
58	все они	7	5
59	в своем	3	5
60	это не	6	5
61	формы и	3	5
62	при этом	6	5
63	никогда не	3	5
64	все эти	9	5
65	должно быть	2	5
66	рядом с	4	5
67	в основе	5	5
68	далеко не	5	5
69	с ним	7	5
70	в них	6	5
71	конечно не	3	5
72	и о	2	5
73	в большинстве	10	5
74	так и	11	5
75	не на	5	5
76	большинстве случаев	6	5
77	а не	15	5
78	быть только	2	5
79	могут быть	19	5
80	на самом	2	4
81	лишь как	3	4
82	в ней	4	4
83	известной степени	4	4
84	другой стороны	4	4
85	данном случае	3	4
86	в других	3	4
87	с ними	3	4
88	конечно и	2	4
89	сказать что	2	4
90	в то	14	4
91	о том	3	4
92	и потому	4	4
93	но в	8	4
94	вне себя	3	4
95	перестает быть	2	4
96	не с	2	4
97	в ее	2	4
98	каждый момент	2	4
99	в предмете	8	4
100	всех его	7	4
101	как вещь	2	4
102	как в	8	4
103	в романе	21	4
104	между ними	2	4
105	хотя бы	3	4
106	можно было	2	4
107	в данном	3	4
108	композиционная форма	2	4
109	более того	3	4
110	в себе	3	4
111	здесь не	2	4
112	как только	3	3
113	и от	4	3
114	его как	2	3
115	в известной	2	3
116	же время	12	3
117	кроме того	4	3
118	одной стороны	4	3
119	например в	2	3
120	хотя и	2	3
121	не является	2	3
122	точка зрения	8	3
123	и тем	2	3
124	как такового	3	3
125	в целом	2	3
126	все это	5	3
127	с одной	4	3
128	и даже	6	3
129	и на	14	3
130	языка в	16	3
131	также и	3	3
132	а как	2	3
133	ни было	2	3
134	и все	4	3
135	но здесь	3	3
136	на фоне	7	3
137	и к	5	3
138	как его	5	3
139	том что	2	3
140	одной из	3	3
141	он не	3	3
142	на почве	4	3
143	оно не	6	3
144	связь с	2	3
145	в слове	7	3
146	с другими	5	3
147	слова и	13	3
148	на этом	2	2
149	не могут	3	2
150	в частности	2	2
151	в этих	2	2
152	столь же	2	2
153	и мир	5	2
154	что все	2	2
155	в каждом	4	2
156	для понимания	2	2
157	всех своих	2	2
158	или иной	9	2
159	можно сказать	2	2
160	войти в	2	2
161	узком смысле	10	2
162	лингвистики и	3	2
163	смысле слова	2	2
164	в свою	3	2
165	оценок и	4	2
166	от чисто	2	2
167	нем и	3	2
168	и у	2	2
169	это отношение	2	2
170	той или	9	2
171	в котором	2	2
172	он может	2	2
173	как к	2	2
174	в особенности	8	2
175	не было	3	2
176	и других	3	2
177	форм и	3	2
178	лишь в	4	2
179	произведения и	2	2
180	того что	3	2
181	и те	2	2
182	и социальное	2	2
183	языка но	4	2
184	и здесь	3	2
185	не его	2	2
186	в истории	3	2
187	того или	2	2
188	а иногда	3	2
189	подхода к	5	2
190	оно может	2	2
191	в него	3	2
192	слово в	10	2
193	оно было	2	2
194	с его	4	2
195	на единство	2	2
196	и во	3	2
197	к этому	2	2
198	вовсе не	7	2
199	или иного	2	2
200	языка как	4	2
201	у нас	2	2
202	по существу	3	2
203	связи с	2	2
204	одна из	2	2
205	единство и	3	2
206	входя в	4	2
207	здесь в	4	2
208	лучшем случае	2	2
209	она не	3	2
210	предмета и	2	2
211	том же	4	2
212	зрения самого	2	2
213	себя в	9	2
214	момент его	3	2
215	нами в	2	2
216	язык в	4	2
217	к своему	6	2
218	для того	2	2
219	и эта	2	2
220	в лучшем	2	2
221	или в	8	2
222	на мир	4	2
223	в виде	2	2
224	и ее	3	2
225	в другом	2	2
226	и вообще	2	2
227	в единство	2	2
