N	2gram	Bakhtin_Fr_2	VerxiiNi
1	и в	49	26
2	таким образом	7	22
3	вместе с	2	15
4	в этом	15	15
5	точки зрения	6	13
6	как бы	11	12
7	в том	3	11
8	может быть	5	10
9	не только	17	10
10	и с	6	10
11	из этих	5	10
12	связи с	2	9
13	что в	2	9
14	но и	13	9
15	в области	4	9
16	так как	6	9
17	с другой	4	8
18	но не	5	8
19	и не	15	8
20	как на	4	8
21	связанные с	2	7
22	том что	4	7
23	но все	4	7
24	одной стороны	3	7
25	из них	3	7
26	к нему	3	7
27	то что	6	7
28	в эпоху	13	7
29	с одной	3	7
30	но в	4	7
31	в конце	2	6
32	и потому	5	6
33	несмотря на	3	6
34	всяком случае	2	6
35	все же	7	6
36	так и	6	6
37	все это	9	6
38	в отношении	2	6
39	все эти	7	6
40	с точки	5	6
41	во всяком	2	6
42	в себе	4	6
43	мы должны	2	6
44	и т.д	2	6
45	о том	3	6
46	и к	4	5
47	отношение к	8	5
48	до сих	4	5
49	одной из	2	5
50	в его	18	5
51	никогда не	5	5
52	сих пор	4	5
53	так же	2	5
54	лишь в	4	5
55	того чтобы	2	5
56	в мире	2	5
57	учение о	2	4
58	должен был	2	4
59	в этих	4	4
60	что он	3	4
61	в нем	9	4
62	в смысле	2	4
63	в самом	3	4
64	целый ряд	2	4
65	не может	7	4
66	а в	4	4
67	то же	7	4
68	в течение	3	4
69	во время	12	4
70	в то	6	4
71	только в	13	4
72	то есть	32	4
73	в этой	10	4
74	далеко не	3	4
75	и другие	2	3
76	можно сказать	2	3
77	для него	9	3
78	культура в	2	3
79	в своем	5	3
80	в качестве	2	3
81	и о	4	3
82	в связи	2	3
83	при этом	5	3
84	культуры и	3	3
85	в значительной	3	3
86	и даже	2	3
87	в одном	3	3
88	уже в	5	2
89	с его	5	2
90	именно в	6	2
91	связанных с	3	2
92	перестает быть	2	2
93	пор еще	2	2
94	связана с	3	2
95	в них	13	2
96	сравнению с	2	2
97	превращается в	3	2
98	и особенно	3	2
99	на все	3	2
100	прежде всего	19	2
101	на то	2	2
102	по существу	2	2
103	мы видели	3	2
104	в начале	5	2
105	все что	2	2
106	же время	6	2
107	так например	2	2
108	связано с	2	2
109	тот же	5	2
110	еще не	2	2
111	и перед	3	2
112	со всеми	2	2
113	вплоть до	2	2
114	один из	7	2
115	благодаря этому	4	2
116	жизни и	7	2
117	во всех	6	2
118	характер носят	2	2
119	связь с	3	2
120	было конечно	2	2
121	всех других	2	2
122	особенно в	2	2
123	не было	4	2
124	этом отношении	3	2
125	в самой	2	2
126	ко всему	2	2
127	одним из	2	2
128	наконец в	3	2
129	и на	17	2
130	связан с	3	2
131	сказать что	6	2
132	мы можем	2	2
133	народная культура	3	2
134	по сравнению	2	2
135	и после	2	2
136	и все	3	2
137	и это	3	2
138	очень много	2	2
139	относится к	5	2
140	в эту	5	2
141	в виду	3	2
