N	2gram	Medvedev_S_1	Myshleni
1	в том	5	28
2	и в	3	28
3	то что	2	28
4	в этом	5	27
5	том что	2	19
6	таким образом	2	18
7	только в	2	18
8	что в	2	17
9	не только	3	16
10	может быть	2	13
11	как бы	2	11
12	но и	2	10
13	по отношению	2	10
14	отношению к	2	10
15	было бы	2	9
16	еще не	2	8
17	то же	2	7
18	и что	2	6
19	в частности	2	4
20	не в	3	4
21	очевидно что	2	3
22	и только	3	3
23	это и	2	3
24	в его	3	3
25	как только	2	2
26	в конце	2	2
27	для нас	3	2
28	все это	7	2
29	по существу	2	2
30	к которому	2	2
