N	2gram	Vygotskiy__1	VrazhdaK
1	не только	16	9
2	в этом	17	8
3	и что	5	8
4	и в	23	8
5	но и	14	7
6	что в	14	7
7	то что	17	7
8	и все	5	7
9	в котором	4	6
10	все же	3	6
11	и даже	2	6
12	как и	14	6
13	но в	5	6
14	и с	9	6
15	то же	8	5
16	и не	9	5
17	об этом	3	5
18	между тем	9	5
19	в то	7	5
20	же время	2	5
21	уже в	3	4
22	как бы	11	4
23	все это	6	4
24	целый ряд	4	4
25	что он	7	4
26	так же	16	4
27	в своих	5	4
28	может быть	14	4
29	при этом	4	4
30	несмотря на	2	4
31	о том	6	4
32	речь идет	2	3
33	я не	3	3
34	с его	4	3
35	связи с	3	3
36	в своем	3	3
37	что у	2	3
38	в конце	2	3
39	к этому	4	3
40	на то	5	3
41	в том	24	3
42	и его	6	3
43	том что	21	3
44	и как	5	3
45	тем что	6	3
46	в его	14	3
47	в чем	4	3
48	он не	5	3
49	а с	4	2
50	в известном	2	2
51	в своей	4	2
52	и это	3	2
53	никогда не	2	2
54	вместе с	9	2
55	в них	2	2
56	человека с	2	2
57	столь же	6	2
58	как раз	4	2
59	не может	12	2
60	а в	2	2
61	отношения к	3	2
62	таким образом	26	2
63	начиная с	2	2
64	уже не	2	2
65	на первый	2	2
66	с точки	18	2
67	тем более	5	2
68	в этой	7	2
69	и то	3	2
70	об этой	3	2
71	же как	6	2
72	их в	4	2
73	точки зрения	26	2
74	в свою	4	2
75	и ее	7	2
76	в себе	6	2
77	для него	2	2
78	о чем	2	2
79	его на	2	2
80	ответ на	3	2
81	том же	2	2
