N	3gram	Tiupa_Anal_1	Narrotol
1	в данном случае	2	8
2	времени и пространстве	4	6
3	во времени и	3	6
4	в том что	9	5
5	к тому же	4	5
6	то же время	6	4
7	той или иной	6	4
8	не может быть	16	4
9	в то же	8	4
10	в этом отношении	2	3
11	в первом случае	2	3
12	подобно тому как	3	3
13	по отношению к	5	3
14	для того чтобы	3	3
15	сами по себе	2	2
16	и все же	2	2
17	в отличие от	6	2
18	состоит в том	3	2
19	в самом деле	2	2
20	мы имеем дело	4	2
21	о том что	3	2
22	имеем дело с	3	2
23	не сводится к	2	2
24	в равной степени	2	2
25	то же самое	2	2
26	но и в	2	2
