N	2gram	Savitsky_P_1	Analitik
1	в качестве	9	31
2	может быть	5	29
3	в том	9	27
4	не может	4	22
5	и не	12	21
6	в частности	2	19
7	и в	14	18
8	а не	2	17
9	но и	6	17
10	отнюдь не	2	15
11	не только	17	15
12	не в	5	14
13	в его	2	13
14	в этом	10	13
15	том что	4	12
16	в себе	3	11
17	но не	3	10
18	то же	9	9
19	а в	4	9
20	в то	7	9
21	в мире	2	8
22	есть не	2	8
23	но в	9	8
24	тем самым	3	7
25	это не	3	6
26	прежде всего	3	6
27	же время	7	6
28	то что	4	6
29	точки зрения	3	6
30	только в	7	6
31	я и	3	6
32	и как	3	5
33	что в	4	5
34	как бы	4	5
35	сводится к	3	5
36	между тем	3	5
37	того что	2	4
38	могут быть	3	4
39	столь же	3	4
40	с другой	5	4
41	по себе	4	4
42	для того	3	4
43	в области	11	4
44	именно в	2	4
45	более чем	2	4
46	с точки	3	4
47	том числе	2	3
48	и есть	2	3
49	хотя бы	8	3
50	в нем	3	3
51	и к	4	3
52	и т	3	3
53	в силу	2	3
54	одной стороны	3	3
55	в котором	4	3
56	если в	2	3
57	с одной	3	3
58	полной мере	2	3
59	что мы	3	3
60	в полной	2	3
61	а также	4	3
62	если бы	4	3
63	творчества и	2	2
64	быть может	6	2
65	но о	2	2
66	не столько	2	2
67	бы ни	2	2
68	в начале	2	2
69	и потому	4	2
70	должно быть	2	2
71	в пределах	8	2
72	было бы	6	2
73	мысль о	2	2
74	и о	5	2
75	в ряду	2	2
76	она есть	3	2
77	не о	2	2
78	сами по	3	2
79	не к	2	2
80	из них	2	2
81	но к	2	2
82	со стороны	2	2
83	отношения к	2	2
84	сколько бы	2	2
85	культуры в	2	2
86	тем более	2	2
87	что из	2	2
88	думать что	2	2
89	потому что	3	2
90	и с	2	2
