N	2gram	Ircho_Kome_3	Freidism
1	таким образом	12	24
2	и не	21	23
3	не может	3	20
4	точки зрения	4	19
5	прежде всего	5	18
6	к отцу	2	16
7	в этом	8	15
8	в его	8	15
9	с помощью	4	14
10	мы можем	3	13
11	может быть	6	13
12	и его	6	12
13	как и	3	11
14	как бы	3	11
15	то что	4	11
16	с точки	3	11
17	так и	4	10
18	как мы	2	10
19	самом деле	6	10
20	его в	8	10
21	с ним	5	10
22	но в	5	10
23	с его	3	9
24	и в	22	9
25	во всех	2	9
26	по отношению	5	9
27	все что	3	8
28	что он	8	8
29	отношению к	3	8
30	еще не	6	8
31	в своей	5	8
32	он не	5	8
33	не только	5	8
34	все это	5	8
35	то же	7	8
36	и все	2	8
37	так как	11	8
38	мы знаем	2	7
39	ни в	10	7
40	тот же	2	7
41	к нему	5	7
42	во всяком	3	7
43	один из	3	7
44	отношение к	5	7
45	в самом	9	7
46	всяком случае	3	7
47	никогда не	3	6
48	вовсе не	4	6
49	и ее	2	6
50	за пределы	2	6
51	в ней	4	6
52	совершенно не	2	6
53	хотя бы	4	6
54	и с	4	6
55	и к	3	5
56	в свою	7	5
57	не в	4	5
58	в этой	3	5
59	в то	6	5
60	что в	5	5
61	но и	4	5
62	по мнению	2	5
63	для того	6	5
64	а в	7	5
65	и на	2	5
66	с этим	3	5
67	не менее	5	4
68	в котором	2	4
69	то ни	3	4
70	в пределах	2	4
71	не дает	4	4
72	если мы	2	4
73	с другими	2	4
74	к тому	6	4
75	об этом	7	4
76	же время	5	4
77	которой мы	2	4
78	на которые	3	4
79	при этом	7	4
80	конечно не	3	4
81	и о	2	4
82	от того	2	4
83	как раз	6	4
84	в основе	2	4
85	в нем	3	4
86	все же	4	4
87	на основании	2	4
88	не было	2	4
89	между ними	2	4
90	того чтобы	6	4
91	с самого	4	4
92	и для	4	4
93	в которой	3	4
94	мы не	2	4
95	в таком	2	4
96	потому что	10	4
97	во время	6	4
98	себя и	2	4
99	говорить о	3	4
100	не могут	2	3
101	самого начала	4	3
102	нисколько не	3	3
103	о которой	2	3
104	если бы	8	3
105	конечном счете	2	3
106	тому что	2	3
107	в них	3	3
108	на себя	4	3
109	к себе	5	3
110	в конечном	2	3
111	в себе	4	3
112	он был	4	3
113	по своему	3	3
114	она не	2	3
115	было бы	3	3
116	и тот	3	3
117	бы он	3	3
118	с отцом	2	3
119	бы то	2	3
120	когда он	4	3
121	на него	4	3
122	вместе с	9	3
123	со стороны	11	3
124	отцом и	3	3
125	приводит к	3	3
126	не знает	3	3
127	как в	2	3
128	и что	6	3
129	свою очередь	6	3
130	на этот	3	3
131	у него	4	3
132	и этим	3	3
133	не является	4	3
134	человека и	2	3
135	отца и	2	3
136	в отношении	4	2
137	уже в	2	2
138	человека в	2	2
139	отца в	2	2
140	но все	4	2
141	между собой	4	2
142	ничуть не	6	2
143	в какой	3	2
144	того же	6	2
145	по всему	3	2
146	с другой	4	2
147	это не	2	2
148	в конце	7	2
149	к этому	6	2
150	для понимания	2	2
151	же самое	3	2
152	не позволяет	3	2
153	ничем не	4	2
154	тем не	3	2
155	в ее	3	2
156	до конца	4	2
157	ни было	2	2
158	том что	13	2
159	в глаза	3	2
160	а не	4	2
161	что с	2	2
162	одной стороны	3	2
163	из них	5	2
164	не совсем	2	2
165	что мы	2	2
166	но если	3	2
167	конце концов	2	2
168	в своем	8	2
169	только для	2	2
170	и мысли	3	2
171	в развитии	2	2
172	дело не	2	2
173	сих пор	9	2
174	что она	4	2
175	в их	2	2
176	даже если	2	2
177	отношения к	2	2
178	этом отношении	2	2
179	с одной	3	2
180	из того	3	2
181	не приходится	2	2
182	тем же	3	2
183	и даже	3	2
184	так же	4	2
185	отличие от	2	2
186	роль в	2	2
187	их в	3	2
188	и дать	2	2
189	нуждается в	2	2
190	в своих	2	2
191	из этой	2	2
192	что и	8	2
193	в другом	2	2
194	до сих	9	2
195	как это	5	2
196	в области	2	2
197	и поэтому	4	2
198	в виду	2	2
