N	2gram	Voloshinov_1	Sotsiolo
1	все это	3	7
2	в том	6	5
3	в этом	16	5
4	не в	5	3
5	как же	4	3
6	и только	2	3
7	социологического метода	2	3
8	в его	6	3
9	и в	19	3
10	не только	8	3
11	по отношению	3	2
12	еще не	4	2
13	было бы	4	2
14	она может	3	2
15	только в	9	2
16	в конце	5	2
17	это и	3	2
18	таким образом	17	2
19	том что	3	2
20	далеко не	4	2
21	то же	7	2
22	отношению к	2	2
23	то что	8	2
24	может быть	26	2
25	за пределы	5	2
26	в результате	9	2
27	в частности	2	2
28	но и	8	2
29	в смысле	6	2
30	как бы	15	2
31	должна быть	2	2
32	конце концов	3	2
33	что в	4	2
