N	2gram	Savitsky_E_1	Marksizm
1	может быть	6	28
2	и в	37	19
3	как бы	6	19
4	и не	14	19
5	не может	9	18
6	в процессе	4	18
7	точки зрения	23	17
8	то же	15	16
9	как мы	5	15
10	в этом	12	15
11	таким образом	2	14
12	не только	18	13
13	с точки	17	13
14	если бы	2	11
15	вовсе не	6	11
16	не в	5	10
17	в пределах	25	10
18	но и	14	10
19	том что	6	10
20	так и	10	10
21	как и	7	9
22	а не	2	9
23	отнюдь не	9	8
24	же время	14	8
25	не является	3	8
26	в то	16	8
27	только в	9	8
28	никогда не	3	7
29	в том	11	7
30	но в	14	7
31	и более	2	7
32	прежде всего	9	7
33	и для	3	7
34	в таком	3	7
35	в смысле	9	6
36	к тому	8	6
37	и как	2	6
38	в свою	3	6
39	того чтобы	6	6
40	в самом	4	6
41	ни было	4	6
42	в направлении	4	6
43	и все	2	6
44	между тем	8	6
45	во всех	6	6
46	для того	6	6
47	хотя бы	15	6
48	мы можем	3	6
49	свою очередь	2	5
50	то ни	4	5
51	в большинстве	2	5
52	или иной	4	5
53	к нему	2	5
54	в их	11	5
55	так же	9	5
56	и на	6	5
57	большинстве случаев	3	5
58	и того	2	5
59	того же	3	5
60	в его	2	5
61	в той	5	5
62	в данном	3	5
63	тем более	4	5
64	отношении к	15	5
65	должна быть	2	4
66	в отношении	32	4
67	на то	6	4
68	той или	4	4
69	то что	6	4
70	и тем	3	4
71	мы видели	3	4
72	бы то	4	4
73	влияние на	2	4
74	того что	7	4
75	сказать что	4	4
76	бы в	2	4
77	было бы	8	4
78	в данной	3	4
79	в себе	9	4
80	в этих	2	3
81	в какой	2	3
82	столь же	5	3
83	с другой	7	3
84	и от	3	3
85	для понимания	2	3
86	в этой	2	3
87	одной стороны	8	3
88	в ней	4	3
89	в котором	2	3
90	какой бы	2	3
91	в каком	4	3
92	а в	2	3
93	с этим	2	3
94	с одной	8	3
95	не имеет	4	3
96	в истории	2	3
97	о том	3	3
98	так как	7	3
99	к которым	5	3
100	по себе	4	3
101	в ее	8	3
102	в качестве	14	3
103	связано с	3	3
104	одной из	5	3
105	не к	2	3
106	он не	2	3
107	что и	3	3
108	не есть	2	3
109	не будет	3	3
110	в своей	8	3
111	на основе	2	3
112	с другими	2	3
113	и то	2	3
114	во всяком	3	3
115	могут быть	2	3
116	место в	3	2
117	в определенном	3	2
118	независимо от	4	2
119	что в	21	2
120	что это	2	2
121	все более	9	2
122	эти последние	2	2
123	вопрос о	4	2
124	или вернее	2	2
125	всяком случае	3	2
126	жизни и	2	2
127	в своем	14	2
128	именно в	4	2
129	и даже	6	2
130	можем сказать	2	2
131	как на	3	2
132	ее от	2	2
133	и с	2	2
134	но как	2	2
135	того или	4	2
136	то есть	6	2
137	от этого	5	2
138	но по	2	2
139	xviii и	2	2
140	или иного	4	2
141	стороны и	6	2
142	будет ли	2	2
143	в идеологическом	2	2
144	но не	5	2
145	ли это	3	2
146	культуры как	2	2
147	и потому	5	2
148	решения проблемы	2	2
149	и прежде	3	2
150	не на	4	2
151	еще более	2	2
152	в значительной	2	2
153	и эта	2	2
154	между ними	2	2
155	мы не	4	2
156	или в	2	2
157	тем что	3	2
158	в виде	5	2
159	далеко не	2	2
160	там где	3	2
161	вместе с	2	2
