N	2gram	Nazirov_Tr_1	Myshleni
1	в том	2	28
2	и в	18	28
3	то что	4	28
4	в этом	9	27
5	потому что	2	22
6	не может	5	19
7	том что	4	19
8	что он	6	18
9	что в	4	17
10	не только	8	16
11	так же	4	15
12	может быть	7	13
13	и не	7	11
14	как бы	7	11
15	к тому	2	10
16	но и	4	10
17	никогда не	2	8
18	в самом	2	8
19	ребенка в	2	8
20	еще не	4	8
21	тем самым	3	8
22	тем что	2	8
23	в нем	4	7
24	в своем	3	7
25	отношение к	2	7
26	он не	2	7
27	то же	5	7
28	так что	2	6
29	и как	3	6
30	и что	4	6
31	для него	3	6
32	не имеет	2	6
33	в то	5	6
34	его в	2	6
35	как и	5	6
36	так и	5	6
37	не могут	2	5
38	это не	5	5
39	вопрос о	2	5
40	и на	7	5
41	и все	4	5
42	но в	6	5
43	что все	2	5
44	с тем	2	5
45	в этой	4	5
46	я не	4	4
47	в частности	2	4
48	не в	2	4
49	к жизни	5	4
50	между этими	2	4
51	друг друга	2	4
52	в первом	2	4
53	что и	2	4
54	и то	2	4
55	в себе	4	4
56	в ходе	2	3
57	как это	3	3
58	что с	3	3
59	до конца	2	3
60	при этом	3	3
61	мог бы	3	3
62	в целом	4	3
63	и здесь	2	3
64	с его	2	3
65	один из	3	3
66	в его	3	3
67	только к	2	3
68	как в	3	3
69	и его	6	3
70	он сам	7	2
71	в конце	3	2
72	прежде всего	4	2
73	раз он	2	2
74	но это	4	2
75	несмотря на	5	2
76	все это	4	2
77	все эти	3	2
78	ребенка и	2	2
79	с ним	3	2
80	у него	6	2
81	раз и	2	2
82	в одном	2	2
83	не играют	2	2
84	чем он	2	2
85	еще в	2	2
86	все же	5	2
87	в данном	2	2
88	что я	4	2
