N	2gram	Tiupa_Teor_1	KulturaY
1	в том	16	30
2	и в	18	24
3	потому что	3	23
4	том что	9	21
5	что в	9	17
6	в этом	8	14
7	точки зрения	9	14
8	может быть	17	13
9	языка в	4	12
10	таким образом	3	12
11	в его	6	12
12	и не	13	12
13	не в	7	11
14	только в	6	11
15	вовсе не	3	10
16	в самом	4	10
17	у нас	2	10
18	не только	16	10
19	если бы	3	9
20	то что	3	9
21	прежде всего	2	9
22	отношению к	4	9
23	того что	4	9
24	с точки	3	9
25	а только	3	8
26	по отношению	4	8
27	то же	7	8
28	уже не	4	8
29	а не	9	8
30	как раз	2	8
31	не менее	4	7
32	в них	2	7
33	с другой	7	7
34	в качестве	24	7
35	как бы	5	7
36	вместе с	2	7
37	не может	4	7
38	это не	2	7
39	в области	4	7
40	так и	10	7
41	в какой	2	6
42	именно в	3	6
43	при этом	12	6
44	но и	9	6
45	все это	2	6
46	другой стороны	5	6
47	все эти	2	6
48	мы имеем	7	6
49	не случайно	5	6
50	в которой	2	6
51	к тому	2	5
52	но не	9	5
53	еще не	4	5
54	и что	3	5
55	в виду	5	5
56	в той	2	5
57	а в	13	5
58	и его	8	5
59	между тем	5	5
60	речи и	2	5
61	в рамках	7	4
62	с его	5	4
63	в частности	16	4
64	в этих	3	4
65	и потому	2	4
66	в нем	4	4
67	есть в	2	4
68	того же	3	4
69	в пределах	5	4
70	один из	2	4
71	что и	2	4
72	тем не	3	4
73	в целом	3	4
74	со стороны	2	4
75	как в	5	4
76	не на	2	4
77	в самой	2	4
78	тем самым	4	4
79	так же	2	4
80	роль в	2	4
81	в данном	8	4
82	из этих	3	4
83	и является	2	4
84	того или	3	4
85	казалось бы	2	3
86	состоит в	17	3
87	на себя	2	3
88	этом смысле	2	3
89	была бы	3	3
90	или иного	3	3
91	или иной	4	3
92	можно сказать	3	3
93	сводится к	5	3
94	в первом	2	3
95	в соответствии	3	3
96	соответствии с	2	3
97	в этой	3	3
98	свою очередь	2	3
99	в свою	3	3
100	а а	5	3
101	этого слова	3	3
102	слова как	3	3
103	даже в	3	3
104	не с	3	3
105	что она	2	3
106	или менее	2	3
107	тому что	2	3
108	в своем	4	3
109	а с	3	3
110	в их	2	3
111	более или	2	3
112	и даже	2	3
113	и здесь	2	3
114	с их	2	3
115	и то	2	3
116	хотя и	3	3
117	в себе	9	3
118	как это	8	3
119	в одном	2	3
120	к которому	3	3
121	не все	3	2
122	я не	2	2
123	е о	2	2
124	никогда не	4	2
125	превращается в	2	2
126	не является	4	2
127	одного и	3	2
128	так или	4	2
129	не могут	2	2
130	если мы	2	2
131	в то	6	2
132	и того	3	2
133	как и	4	2
134	и как	2	2
135	а на	3	2
136	в большинстве	2	2
137	же время	5	2
138	в своей	6	2
139	по преимуществу	4	2
140	одним из	2	2
141	роли в	5	2
142	от себя	3	2
143	в контексте	3	2
144	если в	2	2
145	к жизни	2	2
146	духовной культуры	2	2
147	к какому-либо	2	2
148	и тем	3	2
149	ее в	2	2
150	ни в	2	2
151	дело не	2	2
152	и а	4	2
153	а именно	2	2
154	он не	3	2
155	и для	2	2
156	иначе говоря	4	2
157	в слове	3	2
158	лишь в	6	2
159	во втором	3	2
160	между ними	4	2
161	или в	3	2
162	или иначе	5	2
163	что можно	3	2
164	может служить	2	2
165	могли бы	2	2
166	в структуре	2	2
167	заключается в	2	2
168	тогда как	15	2
169	с языком	2	2
170	но в	9	2
171	такова например	2	2
172	это было	2	2
