N	3gram	Tiupa_Disk_1	Literetu
1	в е годы	2	8
2	то же время	4	7
3	в то же	3	7
4	в отличие от	4	5
5	к тому же	4	5
6	в данном случае	2	4
7	о том что	5	4
8	с одной стороны	9	4
9	в том что	13	4
10	по отношению к	9	4
11	не говоря уже	2	4
12	в том числе	2	3
13	в соответствии с	2	3
14	тогда как в	5	3
15	не может быть	3	3
16	говоря уже о	2	3
17	в начале х	2	3
18	той или иной	3	2
19	то же самое	2	2
20	том числе и	2	2
21	с другой стороны	3	2
22	состоит в том	2	2
23	подобно тому как	2	2
24	в том чтобы	2	2
25	не только в	2	2
26	одной стороны и	2	2
