N	2gram	Bakhtin_Pr_3	OGranits
1	и в	34	13
2	и его	16	12
3	прежде всего	15	9
4	не может	19	8
5	и не	29	8
6	может быть	19	8
7	точки зрения	8	7
8	в его	22	7
9	таким образом	5	6
10	не только	10	6
11	то что	11	6
12	только в	6	6
13	мы должны	5	6
14	как бы	27	6
15	все же	7	5
16	с точки	4	5
17	хотя бы	5	5
18	и наконец	5	5
19	то же	14	4
20	не является	2	4
21	в своей	3	4
22	все это	16	4
23	в каждом	3	4
24	лишь в	5	4
25	было бы	2	4
26	вполне понятно	2	4
27	но в	16	4
28	отношению к	6	3
29	что в	7	3
30	никогда не	8	3
31	но и	12	3
32	так и	6	3
33	понятно что	2	3
34	что же	8	3
35	по отношению	5	3
36	не как	3	3
37	и все	19	3
38	в одном	5	3
39	самом деле	13	3
40	к одному	3	3
41	я хочу	2	3
42	в ее	3	3
43	да и	4	3
44	как и	18	3
45	не в	9	3
46	за пределы	2	3
47	в которой	2	3
48	и то	3	3
49	в пределах	6	3
50	в себе	6	3
51	говорить о	3	3
52	с этим	2	3
53	и для	8	3
54	так как	4	3
55	но для	3	3
56	слово в	2	3
57	еще в	3	2
58	и этот	2	2
59	не менее	3	2
60	для себя	6	2
61	уже в	3	2
62	с этой	2	2
63	а как	2	2
64	самого начала	8	2
65	в нем	19	2
66	он только	3	2
67	в целом	5	2
68	сознания и	3	2
69	своего рода	2	2
70	а не	9	2
71	в этот	2	2
72	в отношении	9	2
73	другой стороны	3	2
74	но так	3	2
75	с другой	4	2
76	в них	2	2
77	входит в	2	2
78	и должно	2	2
79	а в	5	2
80	все эти	4	2
81	вовсе не	11	2
82	те же	2	2
83	конечно в	2	2
84	материалом для	2	2
85	с самого	8	2
86	каждое слово	2	2
87	к тому	5	2
88	и к	12	2
89	как в	4	2
90	если бы	4	2
91	в общем	4	2
92	в чем	5	2
93	в том	3	2
94	наконец в	3	2
95	так же	8	2
96	не мог	5	2
97	том что	3	2
98	с ними	6	2
99	что они	6	2
100	в этом	16	2
101	тем что	4	2
102	между тем	3	2
103	при этом	4	2
104	нуждается в	3	2
105	всей своей	2	2
106	и ее	2	2
107	для него	13	2
108	в другом	8	2
109	во всем	3	2
110	тот же	2	2
111	более того	2	2
112	кажется что	2	2
113	того или	2	2
114	мы уже	6	2
115	слова и	10	2
116	в самом	8	2
117	героя и	9	2
118	мог бы	2	2
119	там где	7	2
120	бы в	3	2
121	в ней	3	2
