N	2gram	Bakhtin_Pr_2	PoTuStor
1	может быть	23	17
2	и в	43	16
3	и пр	2	12
4	прежде всего	10	9
5	таким образом	5	9
6	в этом	13	9
7	мы можем	2	9
8	и только	3	9
9	совершенно не	4	8
10	и его	8	8
11	и с	5	8
12	точки зрения	13	8
13	не может	18	8
14	с его	4	7
15	сказать что	2	7
16	не только	11	7
17	и это	4	6
18	и к	3	6
19	с точки	8	6
20	самом деле	5	6
21	для него	8	6
22	при этом	6	6
23	конечно не	2	6
24	я и	2	6
25	отношение к	2	5
26	все эти	5	5
27	что такое	2	5
28	ни в	2	5
29	сознание и	2	5
30	еще не	9	5
31	как бы	22	5
32	в него	7	5
33	в нем	12	4
34	и их	3	4
35	но и	14	4
36	так и	3	4
37	все это	5	4
38	хотя бы	2	4
39	и все	6	4
40	мысли и	2	4
41	так как	4	4
42	и не	29	4
43	как мы	10	4
44	и ее	3	4
45	и наконец	6	4
46	и даже	3	4
47	с ними	2	4
48	и на	10	4
49	художественного творчества	2	4
50	только в	4	4
51	его в	3	4
52	но в	10	4
53	в его	10	4
54	во время	4	3
55	в этих	6	3
56	что в	4	3
57	во всех	4	3
58	и др	2	3
59	могут быть	3	3
60	сих пор	7	3
61	в большинстве	9	3
62	отношения к	2	3
63	в одном	12	3
64	к себе	7	3
65	этом смысле	2	3
66	большинстве случаев	8	3
67	в том	6	3
68	а в	5	3
69	том что	2	3
70	и как	2	3
71	с их	2	3
72	то что	7	3
73	их в	4	3
74	только на	3	3
75	во всяком	2	3
76	до сих	7	3
77	между ними	4	3
78	не менее	3	2
79	ее в	2	2
80	этих трех	3	2
81	не могут	4	2
82	что и	3	2
83	не есть	2	2
84	ни было	2	2
85	сознания и	3	2
86	никогда не	9	2
87	что не	2	2
88	между собой	2	2
89	для этого	2	2
90	в них	4	2
91	если мы	2	2
92	того же	3	2
93	и так	2	2
94	из этих	2	2
95	с этим	2	2
96	в жизни	3	2
97	то же	8	2
98	не знает	3	2
99	что он	13	2
100	мы не	4	2
101	в одно	3	2
102	на два	3	2
103	что на	2	2
104	у него	6	2
105	но зато	3	2
106	и для	3	2
107	нам кажется	5	2
108	для нас	2	2
109	как и	14	2
110	своей жизни	2	2
111	так же	2	2
112	но это	4	2
113	друг на	2	2
114	есть в	3	2
115	мы уже	3	2
116	по своему	2	2
117	не на	4	2
118	он не	9	2
119	и этим	3	2
120	и говорить	2	2
121	есть и	3	2
122	между собою	4	2
123	на друга	2	2
124	в пределах	16	2
125	ту же	2	2
126	было бы	5	2
127	со всеми	3	2
128	что это	2	2
129	кажется что	3	2
130	но ведь	5	2
131	о том	5	2
132	в самом	7	2
133	за пределы	3	2
134	в своей	4	2
135	и о	2	2
136	с ним	3	2
137	почти не	2	2
138	себя и	3	2
