N	2gram	Vygotskiy__6	Problema
1	и не	11	28
2	не только	16	24
3	только в	18	23
4	в том	28	20
5	и в	28	20
6	все эти	2	16
7	то что	28	15
8	потому что	22	15
9	у нас	2	14
10	было бы	9	14
11	но и	10	14
12	точки зрения	13	14
13	не в	4	13
14	в нашем	4	12
15	в себе	4	12
16	том что	19	12
17	прежде всего	2	11
18	по себе	3	11
19	с точки	10	11
20	не менее	2	10
21	в качестве	4	10
22	так и	6	10
23	и его	3	10
24	может быть	13	9
25	все это	2	9
26	в этом	27	9
27	если бы	7	8
28	что он	18	8
29	таким образом	18	8
30	в той	4	8
31	и все	5	8
32	но в	5	8
33	с другой	2	7
34	это не	5	7
35	ясно что	4	7
36	есть в	3	7
37	общего и	2	7
38	еще не	8	7
39	мы не	6	7
40	и тем	5	7
41	то же	7	7
42	именно в	4	7
43	а не	3	7
44	сказать что	13	7
45	и от	2	6
46	а только	2	6
47	так что	6	6
48	для нас	2	6
49	как и	6	6
50	но это	2	6
51	по своему	2	6
52	при этом	3	6
53	но если	4	6
54	другой стороны	2	6
55	в данном	2	6
56	и вообще	2	6
57	же самое	6	6
58	мы имеем	4	6
59	но не	10	5
60	хотя и	3	5
61	в нем	7	5
62	можно сказать	6	5
63	вместе с	7	5
64	как в	3	5
65	так же	15	5
66	не может	19	5
67	в них	3	5
68	так как	10	5
69	если мы	2	5
70	когда мы	6	5
71	в этих	2	5
72	с тем	5	4
73	в отношении	10	4
74	в одном	2	4
75	это и	3	4
76	в этой	5	4
77	которая является	2	4
78	тем самым	8	4
79	только не	3	4
80	несмотря на	2	4
81	в своей	2	4
82	как бы	11	4
83	понятие есть	4	4
84	не имеет	6	4
85	во всех	4	4
86	отличается от	3	4
87	и только	3	4
88	с этим	4	4
89	в разных	5	4
90	а в	2	4
91	и наконец	2	4
92	можно было	7	4
93	как раз	6	4
94	в то	6	4
95	с ним	2	4
96	в связи	2	3
97	к тому	10	3
98	и более	2	3
99	казалось бы	2	3
100	независимо от	3	3
101	для всех	2	3
102	были бы	2	3
103	вообще не	6	3
104	само собой	2	3
105	что всякий	2	3
106	этом смысле	2	3
107	и к	6	3
108	как мы	10	3
109	для него	6	3
110	и как	6	3
111	это есть	3	3
112	связи с	3	3
113	имеем дело	2	3
114	себе и	2	3
115	и является	2	3
116	в его	3	3
117	только к	3	3
118	что и	4	3
119	в зависимости	5	3
120	что в	17	3
121	в своем	7	3
122	движение и	3	3
123	самом деле	2	3
124	и другое	2	3
125	для того	8	3
126	что мы	11	3
127	с другими	2	3
128	понятия и	10	3
129	и на	5	3
130	тем что	8	3
131	из них	2	3
132	к его	2	3
133	но как	3	3
134	в сознании	4	3
135	в другом	2	3
136	мы должны	3	3
137	зависимости от	5	3
138	не прямо	2	3
139	а это	3	3
140	в каждой	4	3
141	как это	3	3
142	из этого	2	3
143	в области	6	3
144	мы можем	9	3
145	за собой	3	2
146	в меру	2	2
147	все время	3	2
148	до того	3	2
149	научного понятия	10	2
150	в частности	4	2
151	и непосредственно	2	2
152	между собой	9	2
153	для этого	2	2
154	в конце	2	2
155	значительной мере	2	2
156	он с	2	2
157	в понятии	4	2
158	была бы	2	2
159	представить себе	3	2
160	что именно	2	2
161	с его	3	2
162	то в	5	2
163	является не	2	2
164	что они	2	2
165	заключается в	7	2
166	что чем	2	2
167	то время	6	2
168	в настоящей	2	2
169	в пределах	5	2
170	том как	2	2
171	не являются	2	2
172	этот путь	2	2
173	от понятия	3	2
174	на его	3	2
175	в самом	8	2
176	может существовать	2	2
177	как показывает	7	2
178	он не	7	2
179	действительность в	2	2
180	относится к	4	2
181	время как	5	2
182	в котором	2	2
183	не могли	5	2
184	все же	2	2
185	на этой	5	2
186	каждой из	2	2
187	показывает исследование	6	2
188	с ней	3	2
189	если он	2	2
190	но только	2	2
191	только на	2	2
192	дело с	2	2
193	этого понятия	3	2
194	в совершенно	2	2
195	можно только	2	2
196	и что	6	2
197	того чтобы	10	2
198	к другой	6	2
199	только что	2	2
200	и по	3	2
201	научное понятие	8	2
202	друг друга	4	2
203	действия и	3	2
204	в других	2	2
205	с ними	2	2
206	как они	2	2
207	научные понятия	23	2
208	в значительной	2	2
209	приходит к	2	2
210	и то	4	2
211	за ним	2	2
212	его в	6	2
213	том смысле	2	2
214	в чем	6	2
215	в которой	7	2
216	того же	7	2
217	понятие о	2	2
