N	2gram	Nazirov_Vr_1	Problema
1	и в	8	30
2	в своей	2	22
3	то что	7	18
4	не только	9	18
5	том что	3	17
6	в этом	8	17
7	и даже	6	14
8	но и	7	13
9	таким образом	2	13
10	в том	3	12
11	в его	3	12
12	и не	5	12
13	о том	4	12
14	в своем	3	11
15	у него	5	11
16	для нас	4	10
17	точки зрения	2	10
18	в этой	2	10
19	все же	6	9
20	но в	6	9
21	и все	7	9
22	в конце	3	8
23	с точки	2	8
24	никогда не	2	7
25	что он	4	7
26	как и	6	7
27	связи с	3	7
28	может быть	4	7
29	вместе с	2	7
30	в связи	3	7
31	уже не	2	6
32	и как	3	6
33	несмотря на	4	6
34	как бы	4	6
35	в нем	6	6
36	и что	8	6
37	а в	2	6
38	и его	3	6
39	его в	3	6
40	при помощи	2	6
41	не менее	2	5
42	что в	7	5
43	что у	3	5
44	так же	4	5
45	и о	3	5
46	не может	2	5
47	в году	18	5
48	и у	3	5
49	и то	2	5
50	но он	3	5
51	как раз	2	5
52	и с	6	5
53	отнюдь не	2	4
54	об этом	5	4
55	при этом	4	4
56	а с	2	4
57	в период	2	4
58	не мог	2	4
59	и он	2	4
60	в себе	2	4
61	в то	5	4
62	далеко не	3	4
63	же не	2	4
64	он сам	2	3
65	же в	2	3
66	в начале	6	3
67	еще не	2	3
68	он не	3	3
69	а также	2	3
70	в русской	3	3
71	русской литературе	3	3
72	в ней	4	3
73	с ним	4	3
74	в виду	4	3
75	я не	3	2
76	в них	2	2
77	это не	4	2
78	уже в	4	2
79	к этому	3	2
80	на то	3	2
81	то же	5	2
82	он был	3	2
83	раз в	3	2
84	в свою	2	2
85	в нашей	2	2
86	в это	2	2
87	в котором	6	2
88	из них	2	2
89	наряду с	3	2
90	он пишет	2	2
91	отношение к	2	2
92	по мнению	2	2
93	в те	3	2
94	между тем	5	2
95	тем что	3	2
96	о себе	3	2
97	его на	2	2
98	в чем	3	2
99	на кавказ	2	2
