N	2gram	Losev_Prob_1	PoTuStor
1	может быть	14	17
2	и в	32	16
3	и пр	4	12
4	прежде всего	10	9
5	таким образом	6	9
6	в этом	19	9
7	мы можем	4	9
8	и только	4	9
9	совершенно не	6	8
10	и его	3	8
11	и с	2	8
12	точки зрения	3	8
13	не может	8	8
14	с его	2	7
15	сказать что	13	7
16	не только	17	7
17	и это	9	6
18	с точки	3	6
19	самом деле	6	6
20	для него	2	6
21	при этом	6	6
22	я и	2	6
23	только для	3	5
24	все эти	8	5
25	что такое	6	5
26	в чем	3	5
27	ни в	7	5
28	еще не	9	5
29	как бы	14	5
30	в него	2	5
31	в нем	13	4
32	отнюдь не	10	4
33	но и	9	4
34	так и	12	4
35	все это	7	4
36	хотя бы	3	4
37	и все	7	4
38	так как	11	4
39	и не	31	4
40	на самом	6	4
41	а потому	2	4
42	как мы	7	4
43	и ее	8	4
44	можно сказать	5	4
45	и даже	11	4
46	и на	8	4
47	в этой	10	4
48	и может	2	4
49	только в	7	4
50	его в	6	4
51	но в	14	4
52	в его	6	4
53	на этой	2	3
54	в этих	3	3
55	что в	12	3
56	и есть	6	3
57	во всех	7	3
58	могут быть	2	3
59	вместе с	2	3
60	сих пор	3	3
61	этом смысле	6	3
62	учение о	3	3
63	и притом	4	3
64	крайней мере	2	3
65	в том	9	3
66	а в	4	3
67	том что	12	3
68	и как	6	3
69	с другими	2	3
70	то что	42	3
71	их в	4	3
72	по крайней	2	3
73	только на	4	3
74	едва ли	2	3
75	как это	6	3
76	в области	2	3
77	во всяком	7	3
78	и потому	2	3
79	до сих	3	3
80	всяком случае	3	3
81	не существует	6	2
82	не менее	19	2
83	ее в	2	2
84	нет и	2	2
85	поэтому и	2	2
86	может иметь	2	2
87	один из	4	2
88	не могут	2	2
89	не есть	29	2
90	же как	2	2
91	не будет	2	2
92	сознания и	2	2
93	другими словами	3	2
94	никогда не	7	2
95	что не	3	2
96	а может	2	2
97	для этого	3	2
98	в них	7	2
99	если мы	11	2
100	того же	3	2
101	во всей	3	2
102	вообще не	2	2
103	оно не	3	2
104	и так	2	2
105	из этих	2	2
106	с этим	3	2
107	в жизни	3	2
108	то же	10	2
109	что оно	3	2
110	только и	3	2
111	что он	7	2
112	мы не	2	2
113	в одно	4	2
114	что мы	13	2
115	на первый	2	2
116	в науке	2	2
117	и для	4	2
118	для нас	5	2
119	меньше всего	2	2
120	как и	3	2
121	понятия и	2	2
122	мы видим	2	2
123	но отнюдь	3	2
124	так же	9	2
125	но это	8	2
126	есть в	5	2
127	мы уже	5	2
128	совсем не	4	2
129	по своему	9	2
130	не на	3	2
131	знаем что	2	2
132	он не	3	2
133	есть и	3	2
134	между собою	7	2
135	в каком	3	2
136	не можем	2	2
137	момент в	2	2
138	говорить о	6	2
139	и вообще	4	2
140	об его	3	2
141	было бы	8	2
142	со всеми	2	2
143	что это	3	2
144	но ведь	3	2
145	о том	11	2
146	оно и	3	2
147	в самом	6	2
148	но как	6	2
149	за пределы	6	2
150	в своей	8	2
151	только то	4	2
152	и о	8	2
153	с ним	3	2
