N	2gram	Bakhtin_sl_1	Mirosoze
1	может быть	14	30
2	не только	16	29
3	и в	41	28
4	не может	14	28
5	но и	16	25
6	а не	15	25
7	он не	3	24
8	в этом	12	20
9	не было	3	18
10	у него	3	17
11	не в	7	16
12	потому что	2	16
13	переходит в	3	15
14	в ней	4	15
15	в своей	7	15
16	никогда не	3	14
17	до конца	12	14
18	в нем	30	13
19	для него	3	11
20	в самом	5	11
21	и не	16	11
22	в своем	3	10
23	был бы	2	10
24	прежде всего	8	10
25	и все	4	10
26	было бы	3	10
27	и потому	4	10
28	но он	2	9
29	в его	13	9
30	не есть	2	9
31	и его	14	9
32	но не	2	8
33	в котором	2	8
34	того что	3	7
35	но в	8	7
36	к нему	5	7
37	он весь	2	7
38	в себе	3	7
39	в том	3	6
40	все это	5	6
41	лишь в	4	6
42	и на	14	6
43	только в	6	6
44	в которой	4	6
45	не могут	3	5
46	это не	6	5
47	у нас	2	5
48	как и	4	5
49	в этих	2	4
50	с этой	3	4
51	смысле слова	2	4
52	отношение к	7	4
53	в их	4	4
54	и по	2	4
55	а в	6	4
56	точки зрения	16	4
57	и там	3	4
58	в них	6	4
59	не как	4	4
60	один из	4	4
61	она не	3	4
62	за пределы	4	4
63	или к	3	4
64	уже не	2	4
65	к тому	3	3
66	для нас	2	3
67	на своем	5	3
68	в него	3	3
69	должно быть	2	3
70	с этим	3	3
71	его в	3	3
72	так как	3	3
73	то есть	26	3
74	и с	4	3
75	на этом	2	3
76	с его	4	3
77	для них	2	3
78	интерес к	2	3
79	в ее	2	3
80	том что	2	3
81	ничего не	4	3
82	конечно не	3	3
83	на том	2	3
84	себя в	9	3
85	бы и	3	3
86	хотя бы	3	3
87	все его	4	3
88	может не	8	2
89	связана с	2	2
90	по своему	2	2
91	вообще не	3	2
92	и мир	5	2
93	и от	4	2
94	его как	2	2
95	в свою	3	2
96	для того	2	2
97	одним из	4	2
98	могут быть	19	2
99	все эти	9	2
100	и те	2	2
101	время как	2	2
102	также и	3	2
103	сказать что	2	2
104	в истории	3	2
105	как бы	12	2
106	о том	3	2
107	с ним	7	2
108	в основе	5	2
109	а как	2	2
110	и во	3	2
111	к этому	2	2
112	мы видим	2	2
113	в то	14	2
114	то время	2	2
115	до сих	2	2
116	века в	2	2
117	и к	5	2
118	о нем	4	2
119	все же	7	2
120	с ней	2	2
121	сих пор	2	2
122	как в	8	2
123	входит в	4	2
124	в той	10	2
125	и у	2	2
126	и для	4	2
127	от этого	2	2
128	он в	5	2
129	эти слова	2	2
130	на протяжении	2	2
131	от его	3	2
132	отношении к	6	2
133	смысле в	3	2
