N	2gram	Tiupa_Lite_1	Komedia
1	и в	8	26
2	и не	12	14
3	к тому	2	12
4	так и	4	12
5	и его	4	12
6	в том	16	11
7	тому же	2	11
8	может быть	13	11
9	но и	17	10
10	в этом	12	10
11	что в	3	9
12	столь же	4	9
13	том что	14	9
14	было бы	2	8
15	из них	4	7
16	не только	24	7
17	ли не	3	7
18	на себя	2	7
19	в своем	11	6
20	то что	10	6
21	еще не	4	6
22	в нем	2	6
23	потому что	3	6
24	в то	5	6
25	о том	2	6
26	таким образом	3	6
27	с его	5	5
28	что он	5	5
29	в качестве	17	5
30	один из	3	5
31	уже в	5	4
32	не менее	7	4
33	в частности	15	4
34	у него	3	4
35	прежде всего	11	4
36	из этих	2	4
37	же в	5	4
38	как и	6	4
39	в целом	8	4
40	как будто	2	4
41	с их	3	4
42	в его	7	4
43	еще в	4	4
44	мира в	3	4
45	все же	4	4
46	в самом	3	4
47	более чем	3	4
48	что для	2	4
49	можно было	2	4
50	точки зрения	6	4
51	только в	8	4
52	как это	8	4
53	его в	3	4
54	между тем	2	4
55	так или	8	3
56	с этой	5	3
57	в поле	2	3
58	жизни и	3	3
59	что его	3	3
60	отношению к	2	3
61	связи с	6	3
62	со временем	2	3
63	но не	4	3
64	того же	2	3
65	же время	5	3
66	и сам	6	3
67	по поводу	2	3
68	например в	3	3
69	как правило	2	3
70	да и	3	3
71	себя в	6	3
72	в своей	4	3
73	в их	3	3
74	при всем	3	3
75	по отношению	3	3
76	в связи	4	3
77	той же	3	3
78	то же	5	3
79	не было	3	3
80	как в	5	3
81	друг друга	4	3
82	а в	3	3
83	или иначе	9	3
84	тем что	2	3
85	не может	5	3
86	как он	2	3
87	в этой	4	3
88	тех же	3	3
89	но в	3	3
90	и есть	3	2
91	отнюдь не	2	2
92	однако в	2	2
93	так называемых	2	2
94	с другой	3	2
95	это не	4	2
96	нового времени	2	2
97	в конце	4	2
98	с собой	4	2
99	и я	6	2
100	то это	2	2
101	не в	8	2
102	из его	2	2
103	в силу	4	2
104	х годов	2	2
105	одна из	3	2
106	на этом	2	2
107	своего времени	2	2
108	одной стороны	2	2
109	одним из	5	2
110	как бы	7	2
111	всяком случае	2	2
112	даже в	2	2
113	не является	2	2
114	говоря уже	2	2
115	хотя бы	2	2
116	в мире	2	2
117	не говоря	2	2
118	всего в	3	2
119	со стороны	4	2
120	в отличие	5	2
121	с одной	2	2
122	в принципе	3	2
123	отличие от	5	2
124	роль в	2	2
125	во всяком	3	2
126	одно из	3	2
127	чуть ли	2	2
128	на это	2	2
129	в виду	3	2
