N	2gram	Propp_Morf_1	VerxiiNi
1	и в	13	26
2	таким образом	21	22
3	с тем	2	18
4	в этом	14	15
5	точки зрения	2	13
6	как бы	3	12
7	в том	6	11
8	может быть	52	10
9	не только	4	10
10	связи с	10	9
11	что в	8	9
12	но и	4	9
13	так как	16	9
14	с другой	8	8
15	главным образом	4	8
16	но не	4	8
17	и не	12	8
18	том что	4	7
19	но все	3	7
20	из них	3	7
21	к нему	3	7
22	то что	8	7
23	а с	2	7
24	потому что	3	7
25	но в	2	7
26	к тому	4	6
27	несмотря на	4	6
28	всяком случае	2	6
29	что и	7	6
30	все же	7	6
31	так и	6	6
32	все эти	2	6
33	с точки	2	6
34	во всяком	2	6
35	мы должны	3	6
36	о том	2	6
37	и к	4	5
38	или менее	2	5
39	так же	3	5
40	а не	11	5
41	того чтобы	3	5
42	для того	2	5
43	не имеет	2	5
44	и для	2	5
45	более или	2	5
46	учение о	3	4
47	в этих	13	4
48	что он	4	4
49	из которых	3	4
50	целый ряд	3	4
51	не может	14	4
52	а в	7	4
53	то же	7	4
54	и что	2	4
55	и по	2	4
56	в которых	2	4
57	во время	6	4
58	в виде	2	4
59	он не	3	4
60	в то	3	4
61	только в	2	4
62	в этой	2	4
63	далеко не	5	4
64	не менее	5	3
65	и другие	6	3
66	если бы	2	3
67	хотя бы	4	3
68	к этому	3	3
69	ясно что	5	3
70	можно сказать	2	3
71	связывается с	2	3
72	и как	5	3
73	представляет собой	17	3
74	друг за	2	3
75	в качестве	5	3
76	случае не	3	3
77	большей частью	4	3
78	если в	5	3
79	тем не	5	3
80	отношению к	4	3
81	в связи	9	3
82	уже не	2	3
83	путь к	2	3
84	того что	3	3
85	в которой	3	3
86	то с	2	3
87	в результате	7	3
88	и таким	2	3
89	что эти	2	3
90	в других	3	3
91	не могут	4	2
92	с его	2	2
93	ни было	2	2
94	состоит в	2	2
95	связана с	3	2
96	в образе	4	2
97	прежде всего	9	2
98	не всегда	9	2
99	утверждать что	3	2
100	на то	2	2
101	а также	4	2
102	и здесь	5	2
103	по существу	12	2
104	то ни	3	2
105	в начале	3	2
106	по своему	2	2
107	так например	3	2
108	что мы	2	2
109	еще не	3	2
110	вслед за	5	2
111	с того	3	2
112	но если	7	2
113	один из	5	2
114	не с	2	2
115	бы то	3	2
116	благодаря этому	3	2
117	во всех	4	2
118	к другу	2	2
119	быть и	2	2
120	приводит к	2	2
121	только что	2	2
122	мы имеем	9	2
123	на пути	4	2
124	друг на	2	2
125	можно назвать	3	2
126	сказать что	2	2
127	не в	3	2
128	мы можем	2	2
129	тем и	2	2
130	на друга	2	2
131	или по	2	2
132	в россии	2	2
133	между тем	5	2
