N	3gram	Vygotskiy__2	Myslijsy
1	в том что	17	16
2	то же время	2	5
3	заключает в себе	2	5
4	сам по себе	4	5
5	в то же	2	5
6	не в том	2	5
7	то же что	2	4
8	с другой стороны	2	4
9	в то время	3	4
10	само по себе	3	3
11	тем не менее	4	3
12	до сих пор	5	3
13	в свою очередь	2	3
14	и т д	2	3
15	что он не	2	3
16	не может быть	8	3
17	что и в	3	3
18	только в том	4	3
19	для того чтобы	13	3
20	и той же	4	2
21	только потому что	2	2
22	к тому что	2	2
23	и в самом	4	2
24	в этом отношении	5	2
25	том что он	3	2
26	и в том	2	2
27	как и в	2	2
28	в том чтобы	3	2
29	в сознании и	2	2
30	и т п	8	2
31	подобно тому как	2	2
32	одной и той	4	2
