N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	65
2	как бы	3	22
3	и не	13	22
4	в том	5	16
5	в этом	12	15
6	но в	2	14
7	в нем	10	13
8	прежде всего	9	11
9	и на	2	11
10	и его	4	10
11	и потому	2	10
12	не только	11	10
13	но и	13	10
14	так и	2	10
15	все эти	4	10
16	в его	7	9
17	все это	6	9
18	в своем	2	8
19	его в	2	7
20	никогда не	9	6
21	том что	2	6
22	все же	2	6
23	еще не	3	6
24	может быть	11	6
25	сказать что	2	6
26	одно из	2	6
27	так как	2	6
28	с его	4	5
29	жизни в	2	5
30	потому что	9	5
31	для него	5	5
32	в своей	2	5
33	как и	6	5
34	в своих	3	5
35	и все	10	5
36	и к	2	4
37	не в	11	4
38	в этой	5	4
39	отношение к	5	4
40	в самом	5	4
41	мысли и	3	4
42	не могут	3	3
43	и ни	2	3
44	что в	4	3
45	это не	3	3
46	что он	3	3
47	в ее	2	3
48	в самой	9	3
49	к нему	3	3
50	то что	5	3
51	не может	4	3
52	в других	2	3
53	даже и	2	3
54	в себе	3	3
55	нет ничего	7	3
56	с ним	3	3
57	ничего не	2	3
58	и с	2	3
59	и от	3	2
60	ни с	7	2
61	он был	8	2
62	от него	7	2
63	до конца	7	2
64	и он	8	2
65	хотя и	2	2
66	он не	7	2
67	и для	2	2
68	и этим	2	2
69	и вот	3	2
70	того что	3	2
71	что не	4	2
72	и очень	2	2
73	в этих	3	2
74	могут быть	3	2
75	человеческих отношений	4	2
76	о том	3	2
77	это было	3	2
