N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	26
2	то что	6	16
3	не только	20	15
4	что в	3	14
5	может быть	18	14
6	но и	19	12
7	между двумя	3	12
8	так и	8	10
9	таким образом	4	10
10	и его	5	10
11	что и	2	9
12	все же	6	9
13	и не	12	9
14	то же	5	8
15	этих случаях	2	8
16	а в	6	8
17	в этих	3	7
18	об этом	4	7
19	как и	11	7
20	в качестве	8	7
21	он не	3	7
22	как в	4	7
23	их в	2	7
24	в этом	21	7
25	мы имеем	5	7
26	не всегда	2	6
27	еще не	7	6
28	мы видели	2	6
29	не может	7	6
30	а не	15	6
31	потому что	5	6
32	мы можем	2	6
33	могут быть	4	6
34	как он	2	6
35	это не	6	5
36	к этому	2	5
37	в силу	2	5
38	но не	5	5
39	в его	4	5
40	как мы	3	5
41	уже не	5	5
42	и по	3	5
43	не в	6	5
44	и с	2	5
45	тем что	2	5
46	но в	6	5
47	с другой	5	4
48	а на	2	4
49	все что	3	4
50	в своей	5	4
51	в этот	2	4
52	другой стороны	2	4
53	с появлением	2	4
54	так в	4	4
55	здесь не	2	4
56	тогда как	10	4
57	о том	5	4
58	представляют собой	3	4
59	перед нами	6	3
60	и более	3	3
61	в одной	2	3
62	из этих	3	3
63	для нас	2	3
64	в том	10	3
65	том что	7	3
66	но это	3	3
67	при этом	26	3
68	например в	2	3
69	как бы	4	3
70	а также	8	3
71	наряду с	2	3
72	на него	2	3
73	данном случае	6	3
74	те же	2	3
75	не имеет	2	3
76	на смену	2	3
77	в данном	13	3
78	что мы	2	3
79	только в	6	3
80	о чем	2	3
81	должна быть	2	2
82	не менее	4	2
83	никогда не	4	2
84	однако в	4	2
85	в своем	5	2
86	и все	4	2
87	по себе	2	2
88	и тем	2	2
89	тем не	3	2
90	представляет собой	15	2
91	есть в	2	2
92	одна из	4	2
93	у нее	2	2
94	было бы	4	2
95	том как	3	2
96	если бы	7	2
97	такого рода	16	2
98	в частности	13	2
99	к ним	2	2
100	в современной	3	2
101	хотя и	7	2
102	что на	2	2
103	по своей	3	2
104	не могло	2	2
105	в нем	5	2
106	в целом	3	2
107	не к	4	2
108	отношение к	2	2
109	в тексте	10	2
110	лишь в	2	2
111	того что	6	2
112	и на	3	2
113	его с	2	2
114	в себе	5	2
115	в области	3	2
116	могло бы	3	2
