N	3gram	Tiupa_Teor_1	Hudozhes
1	по отношению к	4	10
2	в отличие от	6	7
3	присутствия в мире	5	7
4	в то же	5	6
5	то же время	5	6
6	не сводится к	4	6
7	я в мире	7	6
8	присутствия я в	6	5
9	более или менее	2	5
10	в том что	8	5
11	с другой стороны	5	5
12	порядка в душе	4	4
13	так и не	4	4
14	состоит в том	5	4
15	роли в миропорядке	5	4
16	и его внешней	2	4
17	эстетическое отношение к	3	3
18	и того же	3	3
19	не следует смешивать	3	3
20	одного и того	3	3
21	можно сказать что	2	3
22	следует смешивать с	3	3
23	в конечном счете	6	3
24	кадров внутреннего зрения	7	3
25	с точки зрения	3	3
26	порядок в душе	3	3
27	в этом смысле	2	3
28	несет в себе	2	3
29	организации художественного текста	4	3
30	всех без исключения	3	3
31	тем не менее	3	3
32	того или иного	3	3
33	первичной знаковой системы	3	3
34	мы имеем дело	2	2
35	в порядке образующем	2	2
36	в эстетический объект	2	2
37	в рамках которого	2	2
38	в том числе	2	2
39	но в состав	2	2
40	случае не следует	2	2
41	говорить о законе	2	2
42	стихотворении пушкина что	2	2
43	стили могут быть	2	2
44	до известной степени	2	2
45	не в самом	2	2
46	что в основе	2	2
47	в данный момент	2	2
48	он тем не	2	2
49	войне и мире	2	2
50	расположилось в порядке	2	2
51	слове о полку	2	2
52	времени и в	2	2
53	отношение представляет собой	2	2
54	участок текста характеризующийся	2	2
55	в имени тебе	2	2
56	и некоторые иные	2	2
57	в отношении обратного	2	2
58	к тому что	2	2
59	эстетическое отношение представляет	2	2
60	и не могло	2	2
61	в коем случае	2	2
62	в качестве текста	3	2
63	в тарасе бульбе	2	2
64	композиционных форм высказывания	2	2
65	приводит к тому	2	2
66	человека к действительности	2	2
67	в единое целое	2	2
68	коем случае не	2	2
69	предпосылкой эстетического отношения	2	2
70	в свою очередь	2	2
71	отношении обратного параллелизма	2	2
72	пушкина что в	2	2
73	мы легко догадываемся	2	2
74	конструктивному принципу иносказательности	2	2
75	в этом мире	2	2
76	в искусстве слова	2	2
77	в стилистическом отношении	2	2
78	тот или иной	2	2
79	не могло быть	2	2
80	в слове о	2	2
81	до прихода в	2	2
82	в структуре текста	2	2
83	потребности и способности	2	2
84	знакового материала в	2	2
85	все расположилось в	2	2
86	внутренней и внешней	2	2
87	субъектной организации художественного	3	2
88	типа эстетического завершения	2	2
89	сегментов текста как	2	2
90	словами м.м бахтина	2	2
91	в войне и	2	2
92	с одной стороны	2	2
93	я с его	2	2
94	в равной степени	3	2
95	а с другой	2	2
96	факторов художественного впечатления	3	2
97	модус художественности состоит	2	2
98	в рамках художественного	2	2
99	вторичной знаковой системы	2	2
100	что в имени	2	2
101	так или иначе	4	2
102	ни в коем	2	2
103	о полку игореве	2	2
104	в русской литературе	2	2
105	художественный текст в	2	2
106	объективной предпосылкой эстетического	2	2
107	внутренняя граница личности	2	2
