N	2gram	Bakhtin_Pr_1	Poddanst
1	не только	15	17
2	и в	29	14
3	и не	31	12
4	в отношении	2	10
5	в этом	22	10
6	то же	14	9
7	в том	8	9
8	но в	7	9
9	хотя бы	2	8
10	в пределах	13	8
11	же время	9	7
12	в то	10	7
13	только в	10	7
14	но и	14	6
15	в ней	2	6
16	в смысле	2	6
17	было бы	5	6
18	с другой	3	5
19	не в	7	5
20	в которых	2	5
21	и пр	3	5
22	отношении к	3	5
23	и о	5	5
24	может быть	24	5
25	же в	2	4
26	в котором	2	4
27	то что	15	4
28	что в	8	4
29	если бы	9	4
30	в своем	8	4
31	не может	12	4
32	по себе	8	4
33	и к	2	4
34	а в	7	4
35	том что	7	4
36	на пути	2	4
37	мы должны	3	4
38	как бы	19	4
39	и потому	6	4
40	сами по	3	3
41	в нем	19	3
42	и т	4	3
43	в россии	2	3
44	это не	9	3
45	т е	21	3
46	прежде всего	7	3
47	с точки	13	3
48	и как	7	3
49	между тем	5	3
50	но не	9	3
51	могут быть	6	3
52	точки зрения	19	3
53	в себе	7	3
54	тот же	2	3
55	потому что	8	3
56	в мире	6	2
57	начала и	2	2
58	именно в	5	2
59	и есть	2	2
60	друг другу	2	2
61	в них	3	2
62	все это	6	2
63	во всей	2	2
64	как раз	6	2
65	отношения к	3	2
66	с этим	2	2
67	в жизни	2	2
68	а не	22	2
69	слова но	2	2
70	точек зрения	3	2
71	должно быть	4	2
72	как на	3	2
73	одна из	3	2
74	не было	4	2
75	например в	3	2
76	и это	5	2
77	никак не	2	2
78	не о	2	2
79	что из	2	2
80	в его	24	2
81	и с	4	2
