N	2gram	Medvedev_F_1	Marksizm
1	может быть	14	28
2	и пр	17	25
3	и в	24	19
4	как бы	6	19
5	и не	20	19
6	не может	16	18
7	в процессе	9	18
8	точки зрения	16	17
9	то же	10	16
10	и его	10	16
11	как мы	5	15
12	в этом	15	15
13	таким образом	13	14
14	лишь в	8	14
15	так сказать	3	14
16	не только	7	13
17	с точки	13	13
18	связи с	3	13
19	в нем	14	11
20	если бы	4	11
21	вовсе не	10	11
22	не в	8	10
23	в пределах	6	10
24	но и	7	10
25	так и	18	10
26	для него	3	9
27	при этом	5	9
28	в основе	3	9
29	как и	11	9
30	на почве	13	9
31	самом деле	6	9
32	а не	10	9
33	отнюдь не	6	8
34	же время	8	8
35	по отношению	4	8
36	в то	9	8
37	с его	4	8
38	отношению к	4	8
39	только в	2	8
40	никогда не	4	7
41	в связи	4	7
42	в том	6	7
43	его в	3	7
44	но в	5	7
45	и более	2	7
46	прежде всего	22	7
47	одна из	2	7
48	на самом	7	7
49	к тому	3	6
50	ни в	2	6
51	и как	3	6
52	в свою	8	6
53	в самом	5	6
54	с помощью	3	6
55	ни было	2	6
56	и все	6	6
57	между тем	2	6
58	более того	3	6
59	во всех	5	6
60	быть и	4	6
61	социальной группы	4	6
62	если мы	2	6
63	хотя бы	5	6
64	свою очередь	6	5
65	то ни	3	5
66	в большинстве	3	5
67	в их	11	5
68	так же	4	5
69	и на	8	5
70	и здесь	6	5
71	большинстве случаев	2	5
72	в его	23	5
73	мы ни	2	5
74	этого слова	3	5
75	все же	3	5
76	отношении к	2	5
77	в душе	2	4
78	должна быть	7	4
79	в отношении	3	4
80	это не	2	4
81	является лишь	4	4
82	как если	2	4
83	в формах	4	4
84	то что	8	4
85	мы видели	2	4
86	бы то	3	4
87	и их	10	4
88	значение в	3	4
89	влияние на	3	4
90	пр и	2	4
91	того что	5	4
92	бы в	3	4
93	а как	2	4
94	в единстве	7	4
95	как раз	2	4
96	смысле этого	3	4
97	что он	3	4
98	было бы	6	4
99	конечно не	4	4
100	вполне понятно	2	4
101	в основном	3	4
102	только на	5	4
103	и ее	10	4
104	в себе	3	4
105	ничего не	2	4
106	учение о	4	3
107	громадное значение	3	3
108	с другой	5	3
109	она является	2	3
110	и от	7	3
111	в этой	6	3
112	одной стороны	4	3
113	в ней	10	3
114	за пределы	2	3
115	со всею	5	3
116	значения и	2	3
117	его и	2	3
118	а в	6	3
119	с этим	2	3
120	с одной	4	3
121	все эти	6	3
122	социального общения	6	3
123	должно быть	11	3
124	для других	2	3
125	в живом	6	3
126	чем же	2	3
127	не было	3	3
128	в истории	4	3
129	в конкретном	3	3
130	но ведь	2	3
131	процесс становления	2	3
132	подхода к	2	3
133	и лишь	2	3
134	не прав	2	3
135	не как	4	3
136	по себе	5	3
137	социальной среды	2	3
138	в различных	2	3
139	в ее	8	3
140	у нас	5	3
141	до сих	6	3
142	еще не	6	3
143	одной из	2	3
144	он не	3	3
145	и до	5	3
146	что и	2	3
147	не есть	2	3
148	в своей	11	3
149	на основе	6	3
150	менее всего	2	3
151	с другими	4	3
152	нашей работы	3	3
153	во всяком	4	3
154	и это	2	3
155	сих пор	6	3
156	место в	7	2
157	все время	2	2
158	независимо от	4	2
159	что в	4	2
160	все более	2	2
161	в нашем	2	2
162	ближайшим образом	4	2
163	формы и	5	2
164	основные линии	2	2
165	на все	3	2
166	вопрос о	2	2
167	является для	2	2
168	нас не	2	2
169	следовательно и	2	2
170	какие оно	2	2
171	лишь как	5	2
172	более или	6	2
173	как о	4	2
174	только здесь	2	2
175	до конца	7	2
176	из важнейших	2	2
177	не так	2	2
178	общения и	2	2
179	идеологического творчества	9	2
180	всяком случае	4	2
181	и непосредственно	3	2
182	в зависимости	2	2
183	жизни и	7	2
184	настоящего времени	2	2
185	в своем	11	2
186	в особенности	3	2
187	отношения к	6	2
188	именно в	8	2
189	они не	3	2
190	в системе	2	2
191	и даже	3	2
192	друг друга	4	2
193	как на	4	2
194	ее от	2	2
195	но для	3	2
196	нам важно	2	2
197	и с	8	2
198	даже и	2	2
199	именно как	12	2
200	и является	2	2
201	того или	2	2
202	не внутри	2	2
203	мы полагаем	2	2
204	фигурирует в	2	2
205	являются лишь	2	2
206	от этого	2	2
207	и всякое	3	2
208	направление в	3	2
209	в жизни	3	2
210	или иного	3	2
211	значение и	3	2
212	стороны и	4	2
213	не с	2	2
214	данную эпоху	2	2
215	в идеологическом	6	2
216	зависимости от	3	2
217	но не	3	2
218	подход к	2	2
219	здесь в	2	2
220	мы увидим	4	2
221	глубоко различны	2	2
222	и потому	9	2
223	науки о	2	2
224	и особенно	2	2
225	должен быть	5	2
226	социологического метода	6	2
227	или менее	6	2
228	приводит к	2	2
229	всем этим	2	2
230	не на	2	2
231	соединении с	2	2
232	или же	3	2
233	на языке	2	2
234	сводится к	3	2
235	конститутивным моментом	2	2
236	должны быть	5	2
237	ко всем	2	2
238	между ними	3	2
239	мы не	3	2
240	вступает в	2	2
241	является конечно	2	2
242	до настоящего	2	2
243	более и	2	2
244	если же	2	2
245	бытия в	3	2
246	совершенно справедливо	2	2
247	вместе с	2	2
