N	2gram	Nazirov_Tr_1	slovoVRo
1	в романе	10	46
2	и в	18	39
3	может быть	7	37
4	и его	6	33
5	то есть	3	26
6	не только	8	24
7	и не	7	22
8	но и	4	21
9	не может	5	20
10	в нем	4	19
11	до конца	2	17
12	все это	4	16
13	в этом	9	16
14	так и	5	15
15	как в	3	13
16	отличие от	2	13
17	в отличие	2	12
18	не в	2	9
19	и с	7	9
20	прежде всего	4	8
21	с его	2	7
22	при этом	3	7
23	для него	3	7
24	еще не	4	7
25	в его	3	7
26	как бы	7	7
27	никогда не	2	7
28	и даже	4	7
29	с ним	3	7
30	все же	5	6
31	как и	5	6
32	в своем	3	6
33	все эти	3	6
34	но в	6	6
35	не могут	2	5
36	это не	5	5
37	и все	4	5
38	романа и	3	5
39	том что	4	5
40	но все	2	5
41	в том	2	5
42	один из	3	5
43	уже не	2	5
44	ни в	2	4
45	же время	6	4
46	одна из	2	4
47	в основном	3	4
48	то же	5	4
49	в таком	2	4
50	и на	7	4
51	в то	5	4
52	отношение к	2	4
53	его в	2	4
54	перед нами	2	3
55	что в	4	3
56	что и	2	3
57	даже на	2	3
58	но это	4	3
59	у него	6	3
60	и как	3	3
61	к нему	3	3
62	бы и	2	3
63	еще раз	2	3
64	как это	3	3
65	в данном	2	2
66	уже в	3	2
67	не был	2	2
68	только о	2	2
69	в себе	4	2
70	и здесь	2	2
71	что он	6	2
72	с ее	3	2
73	в дальнейшем	5	2
74	то что	4	2
75	в виде	2	2
76	но эта	2	2
77	по замыслу	2	2
78	он не	2	2
79	о том	2	2
80	это очень	5	2
81	в одном	2	2
