N	2gram	Potebnia_M_3	Tragedij
1	и в	30	18
2	в этом	10	9
3	не только	21	8
4	и не	15	7
5	и на	3	7
6	и с	2	7
7	может быть	28	7
8	как бы	3	7
9	в образе	3	6
10	что он	6	6
11	и его	4	6
12	же время	5	6
13	у него	2	6
14	все же	2	5
15	что это	4	5
16	так и	11	5
17	не может	6	5
18	то же	23	5
19	как и	10	5
20	в то	10	5
21	несмотря на	2	5
22	но и	19	4
23	то что	18	4
24	в целом	3	4
25	что в	17	4
26	все это	4	4
27	прежде всего	3	4
28	и все	3	4
29	в нем	9	4
30	и даже	2	4
31	так же	3	4
32	том что	18	4
33	но это	6	4
34	в этой	2	4
35	что я	5	4
36	и что	10	4
37	в себе	16	4
38	еще не	5	4
39	этот образ	4	4
40	об этом	2	4
41	уже в	5	3
42	один из	4	3
43	в своем	5	3
44	никто не	3	3
45	как в	10	3
46	тем самым	7	3
47	и как	5	3
48	к нему	3	3
49	должно быть	5	3
50	в его	4	3
51	что с	2	3
52	для него	9	3
53	при этом	3	3
54	с ним	6	3
55	то есть	34	3
56	не имеет	6	2
57	перед нами	2	2
58	и до	2	2
59	от всего	3	2
60	не могут	5	2
61	что и	13	2
62	в душе	10	2
63	то и	6	2
64	что все	3	2
65	а как	2	2
66	если б	5	2
67	уже не	6	2
68	отношение к	2	2
69	к тому	7	2
70	столь же	4	2
71	ни в	2	2
72	в ее	2	2
73	в том	32	2
74	друг друга	3	2
75	но все	2	2
76	так что	7	2
77	в таком	3	2
78	не в	15	2
79	тут же	2	2
80	точно так	12	2
81	и то	8	2
82	потому что	46	2
83	в первом	3	2
84	с тем	7	2
85	тем что	7	2
86	в виде	2	2
87	еще раз	2	2
88	по поводу	4	2
89	о том	2	2
90	его в	3	2
91	и это	4	2
92	в самом	8	2
93	он не	4	2
94	в одном	2	2
95	что она	3	2
