N	2gram	Bakhtin_fo_1	Otkroven
1	у него	6	22
2	и в	50	19
3	но и	8	13
4	и не	14	13
5	в этом	25	12
6	а не	3	11
7	не в	5	11
8	человека в	17	11
9	может быть	11	11
10	не только	9	11
11	человека и	11	10
12	и все	6	10
13	вопрос о	2	10
14	в нем	24	10
15	никогда не	2	9
16	не было	7	9
17	в самой	2	9
18	потому что	4	9
19	прежде всего	15	9
20	ни с	2	7
21	лишь в	6	7
22	но он	2	7
23	до конца	4	7
24	нет ничего	4	7
25	он не	5	7
26	в его	13	7
27	все это	4	6
28	как и	8	6
29	то что	6	5
30	а в	3	5
31	отношение к	2	5
32	в том	9	5
33	для него	2	5
34	в самом	8	5
35	с его	9	4
36	только и	5	4
37	того чтобы	5	4
38	что не	3	4
39	и его	16	4
40	все эти	9	4
41	человек и	2	4
42	не может	6	4
43	что в	5	4
44	в романах	2	4
45	не могут	3	3
46	нем нет	2	3
47	в этих	3	3
48	это не	6	3
49	того что	2	3
50	для того	5	3
51	человек был	3	3
52	хотя бы	2	3
53	еще не	5	3
54	могут быть	5	3
55	и ее	3	3
56	в себе	3	3
57	было бы	2	3
58	никто не	2	3
59	с ним	2	3
60	как бы	2	3
61	в этот	2	2
62	уже в	2	2
63	все же	6	2
64	что и	3	2
65	ее в	2	2
66	и для	4	2
67	с тем	3	2
68	в истории	2	2
69	природы и	2	2
70	так и	12	2
71	жизни в	8	2
72	в своем	4	2
73	что все	2	2
74	к этому	3	2
75	по себе	2	2
76	и к	2	2
77	не имеет	4	2
78	в ее	6	2
79	в которой	2	2
80	в других	9	2
81	том что	4	2
82	своей жизни	4	2
83	и на	8	2
84	и то	4	2
85	сказать что	3	2
86	и с	4	2
87	чем в	2	2
88	совсем не	2	2
89	тем что	2	2
90	личности и	2	2
91	одно из	3	2
92	и нет	2	2
93	он весь	2	2
94	момент в	2	2
95	образ человека	6	2
96	этого мира	4	2
97	его в	3	2
98	человека о	2	2
99	в своей	2	2
100	так как	6	2
101	этом мире	2	2
102	ничего не	9	2
103	хотя и	3	2
104	к ней	2	2
105	но в	10	2
106	и потому	3	2
