N	2gram	Propp_Isto_5	KFilosof
1	может быть	17	43
2	в его	12	39
3	в нем	7	31
4	не может	6	27
5	и не	11	26
6	по отношению	2	25
7	и в	25	22
8	отношению к	2	21
9	в ее	4	17
10	а не	2	17
11	и его	9	17
12	только в	7	16
13	точки зрения	2	13
14	в этом	10	13
15	но не	5	12
16	и это	4	12
17	все эти	8	11
18	в своей	2	11
19	не в	6	11
20	к нему	3	11
21	из себя	4	10
22	это не	6	10
23	все это	4	10
24	от себя	2	10
25	во всех	2	10
26	в целом	3	9
27	но и	13	9
28	как бы	2	9
29	и все	3	9
30	и для	2	9
31	если бы	2	8
32	жизни и	2	8
33	со стороны	2	8
34	и здесь	7	7
35	во всем	2	7
36	вовсе не	2	7
37	должен быть	2	7
38	что и	6	7
39	то что	7	7
40	себя в	6	7
41	в себя	3	7
42	в том	6	6
43	но это	7	6
44	и действительно	5	6
45	совершенно не	2	6
46	он не	4	6
47	уже не	11	6
48	никогда не	3	5
49	ее и	3	5
50	то же	4	5
51	но все	5	5
52	его в	9	5
53	с ним	4	5
54	как и	7	5
55	не только	13	5
56	все же	10	5
57	мы имеем	14	5
58	там где	6	5
59	что в	8	4
60	входит в	5	4
61	для нас	5	4
62	здесь мы	5	4
63	не как	4	4
64	том что	8	4
65	о нем	3	4
66	а в	3	4
67	что это	5	3
68	не менее	4	3
69	из него	2	3
70	в свою	3	3
71	и пр	3	3
72	нем и	3	3
73	и тем	4	3
74	того что	2	3
75	и на	8	3
76	в ней	5	3
77	в то	3	3
78	о том	7	3
79	мы не	5	3
80	тогда когда	2	3
81	ясно что	5	3
82	в некотором	2	3
83	меня в	2	3
84	еще не	8	3
85	ним и	2	3
86	самом деле	2	3
87	для того	3	3
88	что этот	2	3
89	тем что	10	3
90	могут быть	6	3
91	и этим	2	3
92	ничего не	2	3
93	это уже	2	2
94	его и	2	2
95	прежде всего	6	2
96	вопрос о	2	2
97	его к	3	2
98	ему в	3	2
99	тем не	4	2
100	и как	3	2
101	с этого	2	2
102	есть на	2	2
103	он может	2	2
104	и мы	2	2
105	но для	2	2
106	в него	5	2
107	по себе	2	2
108	что за	2	2
109	и других	2	2
110	именно на	2	2
111	потому что	7	2
112	а как	2	2
113	с тем	8	2
114	из нее	2	2
115	к этому	2	2
116	что он	22	2
117	в качестве	7	2
118	него и	5	2
119	в это	2	2
120	но есть	2	2
121	и потому	2	2
122	его изнутри	2	2
123	как в	6	2
124	в виде	9	2
125	если не	4	2
126	и она	3	2
127	мы здесь	4	2
128	того чтобы	3	2
129	в данном	3	2
130	от этого	4	2
131	в этой	3	2
132	которой он	2	2
133	его на	4	2
134	или как	2	2
135	не потому	2	2
