N	2gram	Berdyaev_M_1	TeoriaLi
1	в мире	10	24
2	не только	29	18
3	и не	11	16
4	а в	4	14
5	и в	28	13
6	может быть	30	12
7	то есть	3	12
8	в этом	20	11
9	в том	6	11
10	но не	8	10
11	а не	25	10
12	и его	9	10
13	в его	9	9
14	что в	10	8
15	отношению к	2	8
16	но и	25	8
17	по отношению	2	8
18	себя в	3	7
19	в себе	7	7
20	том что	3	7
21	точки зрения	4	7
22	по своей	2	7
23	в то	2	7
24	только в	6	7
25	место в	2	6
26	с его	3	6
27	лишь в	6	6
28	как бы	2	6
29	но в	7	6
30	в своем	10	5
31	в ее	3	5
32	как и	5	5
33	не в	16	5
34	в самом	11	5
35	в нем	13	5
36	как в	2	5
37	он не	24	5
38	уже не	4	5
39	личности в	2	4
40	в свою	2	4
41	в своей	15	4
42	то что	5	4
43	отношение к	4	4
44	в их	4	4
45	приводит к	2	4
46	не может	28	4
47	сказать что	2	4
48	но он	9	4
49	не знает	4	4
50	мира и	5	4
51	никогда не	14	3
52	в этих	4	3
53	он должен	3	3
54	прежде всего	10	3
55	и к	2	3
56	человека к	2	3
57	по своему	2	3
58	для него	11	3
59	того что	7	3
60	мог бы	4	3
61	и потому	10	3
62	не все	2	3
63	– не	5	3
64	входит в	2	3
65	и вот	3	3
66	и что	2	3
67	и по	4	3
68	– все	3	3
69	потому что	16	3
70	в основе	2	3
71	в этой	6	3
72	отношении к	2	3
73	его в	3	3
74	все эти	2	3
75	человека с	2	3
76	о чем	2	2
77	если бы	2	2
78	могут быть	2	2
79	за пределы	4	2
80	себя и	3	2
81	в конце	7	2
82	жизни в	2	2
83	это не	5	2
84	о себе	3	2
85	что он	10	2
86	не принадлежит	2	2
87	к тому	3	2
88	от свободы	2	2
89	и как	2	2
90	свободы но	5	2
91	в виду	2	2
92	к нему	7	2
93	вместе с	6	2
94	человеческой жизни	2	2
95	и для	2	2
96	это и	4	2
97	в той	2	2
98	и мира	3	2
99	у него	17	2
100	как будто	2	2
101	о том	2	2
102	и это	12	2
103	в которой	6	2
104	отношения к	4	2
