N	2gram	Kanaev_Sov_1	Morfolog
1	может быть	12	52
2	и пр	2	40
3	таким образом	11	20
4	не может	17	17
5	могут быть	2	15
6	с этим	2	14
7	и в	7	13
8	в этом	7	13
9	так как	4	12
10	мы видим	2	11
11	прежде всего	5	9
12	то же	3	9
13	и не	6	9
14	а не	3	9
15	в результате	6	8
16	вопрос о	4	7
17	все же	3	7
18	или же	2	7
19	это не	4	6
20	не могут	2	6
21	в том	4	6
22	а в	4	6
23	не менее	2	5
24	если мы	4	5
25	как бы	4	5
26	мы не	9	5
27	что в	2	4
28	на котором	2	4
29	тем не	2	4
30	было бы	3	4
31	на его	2	4
32	ни одна	2	4
33	не только	4	4
34	в некоторых	2	4
35	как мы	2	4
36	как и	6	4
37	следующим образом	3	4
38	точки зрения	12	4
39	с точки	5	4
40	на этом	2	4
41	ничего не	6	4
42	в нашем	2	3
43	между собой	3	3
44	он должен	2	3
45	но все	2	3
46	в целом	4	3
47	форма в	2	3
48	в первом	3	3
49	самом деле	2	3
50	из которых	2	3
51	к чему	2	3
52	и по	2	3
53	можно назвать	2	3
54	мы можем	6	3
55	из них	4	3
56	мы должны	4	3
57	в один	2	3
58	если же	2	3
59	но в	3	3
60	в виде	2	2
61	и к	3	2
62	он приводит	2	2
63	а на	2	2
64	пойти в	2	2
65	из двух	3	2
66	в настоящее	2	2
67	быть и	2	2
68	вторая половина	2	2
69	может не	3	2
70	с одной	2	2
71	все эти	5	2
72	и что	2	2
73	что такое	2	2
74	уже не	2	2
75	тем же	2	2
76	мы получаем	3	2
77	настоящее время	2	2
78	ясно что	3	2
79	одна из	3	2
