N	2gram	Bakhtin_sl_1	EvropaiE
1	и в	41	37
2	в отношении	6	32
3	в пределах	14	25
4	точки зрения	16	23
5	не только	16	18
6	с точки	8	17
7	в то	14	16
8	хотя бы	3	15
9	то же	14	15
10	отношении к	6	15
11	в своем	3	14
12	в качестве	3	14
13	же время	12	14
14	но и	16	14
15	и не	16	14
16	но в	8	14
17	в этом	12	12
18	в их	4	11
19	в том	3	11
20	так и	11	10
21	прежде всего	8	9
22	в смысле	4	9
23	не может	14	9
24	в себе	3	9
25	только в	6	9
26	так же	2	9
27	к тому	3	8
28	в ее	2	8
29	одной стороны	4	8
30	было бы	3	8
31	в своей	7	8
32	с одной	4	8
33	между тем	2	8
34	как и	4	7
35	по своему	2	7
36	того что	3	7
37	а также	2	7
38	с другой	5	7
39	также и	3	7
40	так как	3	7
41	с этой	3	6
42	вовсе не	7	6
43	том что	2	6
44	может быть	14	6
45	для того	2	6
46	как бы	12	6
47	в последние	2	6
48	во всех	17	6
49	и даже	6	6
50	и на	14	6
51	то есть	26	6
52	же как	2	5
53	в частности	2	5
54	столь же	2	5
55	не в	7	5
56	но не	2	5
57	одной из	3	5
58	как мы	8	5
59	в той	10	5
60	и по	2	5
61	от этого	2	5
62	в виде	2	5
63	и потому	4	5
64	ни было	2	4
65	именно в	3	4
66	или иного	2	4
67	или иной	9	4
68	можно сказать	2	4
69	в самом	5	4
70	то в	2	4
71	в ней	4	4
72	той или	9	4
73	даже в	2	4
74	в процессе	4	4
75	для нас	2	4
76	не на	5	4
77	мы не	2	4
78	сказать что	2	4
79	того или	2	4
80	и к	5	3
81	на своем	5	3
82	никогда не	3	3
83	в них	6	3
84	обстоит дело	2	3
85	вообще не	3	3
86	и от	4	3
87	с другом	2	3
88	по своим	6	3
89	в известной	2	3
90	в свою	3	3
91	того же	6	3
92	в известном	2	3
93	бы ни	3	3
94	друг с	2	3
95	известном смысле	2	3
96	известной степени	4	3
97	из них	3	3
98	всяком случае	5	3
99	не является	2	3
100	и тем	2	3
101	бы и	3	3
102	как в	8	3
103	и для	4	3
104	можно было	2	3
105	не из	2	3
106	в результате	3	3
107	потому что	2	3
108	во всяком	7	3
109	в данном	3	3
110	о том	3	3
111	там где	4	3
112	большинстве случаев	6	3
113	что все	2	2
114	не могут	3	2
115	для них	2	2
116	а не	15	2
117	в этих	2	2
118	еще более	5	2
119	и во	3	2
120	с этим	3	2
121	в большинстве	10	2
122	и все	4	2
123	в одном	2	2
124	к нему	5	2
125	для понимания	2	2
126	и эта	2	2
127	свою очередь	2	2
128	между ними	2	2
129	но именно	4	2
130	она не	3	2
131	меньшей степени	4	2
132	по преимуществу	4	2
133	на язык	2	2
134	он не	3	2
135	в его	13	2
136	в котором	2	2
137	точка зрения	8	2
138	не есть	2	2
139	данном случае	3	2
140	а в	6	2
141	таким образом	9	2
142	и других	3	2
143	и наконец	4	2
144	другой стороны	4	2
145	в других	3	2
146	с другими	5	2
147	мы видим	2	2
148	или в	8	2
149	в другой	2	2
150	и с	4	2
151	хотя и	2	2
152	могут быть	19	2
153	и то	2	2
154	в истории	3	2
155	далеко не	5	2
156	как оно	3	2
157	между собой	2	2
158	в эту	2	2
159	но по	2	2
