N	2gram	Tiupa_Teor_1	slovoVRo
1	в романе	3	46
2	и в	18	39
3	может быть	17	37
4	и его	8	33
5	то есть	12	26
6	не только	16	24
7	и не	13	22
8	но и	9	21
9	не может	4	20
10	в нем	4	19
11	все это	2	16
12	в этом	8	16
13	так и	10	15
14	а не	9	14
15	слова в	2	13
16	как в	5	13
17	отличие от	6	13
18	в пределах	5	13
19	в отличие	6	12
20	вовсе не	3	10
21	не в	7	9
22	прежде всего	2	8
23	себя в	6	8
24	таким образом	3	8
25	точки зрения	9	8
26	с его	5	7
27	при этом	12	7
28	для него	2	7
29	еще не	4	7
30	в его	6	7
31	как бы	5	7
32	никогда не	4	7
33	в этих	3	7
34	и потому	2	7
35	и даже	2	7
36	могут быть	4	7
37	в них	2	6
38	и к	3	6
39	как и	4	6
40	в своем	4	6
41	языка в	4	6
42	но не	9	6
43	в большинстве	2	6
44	все эти	2	6
45	в слове	3	6
46	но в	9	6
47	не могут	2	5
48	с другой	7	5
49	это не	2	5
50	и для	2	5
51	том что	9	5
52	или иной	4	5
53	одной стороны	2	5
54	только в	6	5
55	в том	16	5
56	один из	2	5
57	мышления и	2	5
58	с одной	2	5
59	уже не	4	5
60	героя и	5	5
61	не менее	4	4
62	на фоне	2	4
63	ни в	2	4
64	отношению к	4	4
65	же время	5	4
66	в узком	3	4
67	на почве	4	4
68	в отношении	3	4
69	по отношению	4	4
70	отношения к	2	4
71	то же	7	4
72	в той	2	4
73	а в	13	4
74	с другими	5	4
75	в основе	3	4
76	в то	6	4
77	отношении к	2	4
78	отношение к	5	4
79	его в	2	4
80	перед нами	2	3
81	что в	9	3
82	в состав	6	3
83	не с	3	3
84	в свою	3	3
85	что и	2	3
86	и как	2	3
87	с их	2	3
88	как к	2	3
89	быть и	2	3
90	в контексте	3	3
91	лишь в	6	3
92	а также	6	3
93	с точки	3	3
94	или даже	4	3
95	сказать что	3	3
96	между тем	5	3
97	речи и	2	3
98	говорить о	3	3
99	как это	8	3
100	в данном	8	2
101	с языком	2	2
102	ни к	3	2
103	и другие	2	2
104	хотя и	3	2
105	однако в	7	2
106	в нашем	4	2
107	но она	2	2
108	жизни в	2	2
109	но он	3	2
110	говорит и	2	2
111	в себе	9	2
112	и здесь	2	2
113	с ее	3	2
114	в одно	2	2
115	более или	2	2
116	свою очередь	2	2
117	материала в	2	2
118	роман и	2	2
119	в поэзии	2	2
120	за пределы	2	2
121	известной степени	3	2
122	слова как	3	2
123	даже в	3	2
124	и особенно	2	2
125	не все	3	2
126	то что	3	2
127	дело в	2	2
128	зрения и	2	2
129	корнями в	2	2
130	вместе с	2	2
131	или менее	2	2
132	а именно	2	2
133	в их	2	2
134	в форме	2	2
135	отличается от	2	2
136	так в	4	2
137	именно в	3	2
138	в себя	3	2
139	и т.п	4	2
140	в единое	3	2
141	одним из	2	2
142	роль в	2	2
143	или в	3	2
144	он не	3	2
145	далеко не	2	2
146	к его	2	2
147	в другом	3	2
148	не знает	3	2
149	в области	4	2
150	в одном	2	2
