N	2gram	Bakhtin_Pr_1	formyVre
1	и в	38	50
2	то есть	46	33
3	в романе	4	32
4	в этом	15	25
5	в нем	15	24
6	человека в	2	17
7	и его	16	16
8	прежде всего	13	15
9	и не	42	14
10	как мы	7	14
11	вовсе не	2	13
12	в его	43	13
13	по существу	2	12
14	так и	5	12
15	может быть	26	11
16	таким образом	10	11
17	то же	5	11
18	и как	8	10
19	но в	4	10
20	в том	8	9
21	же время	3	9
22	и др	8	9
23	в особенности	2	9
24	все эти	5	9
25	в других	4	9
26	в то	4	9
27	не только	9	9
28	с его	2	9
29	ничего не	6	9
30	в самом	7	8
31	и т	14	8
32	но и	9	8
33	и на	3	8
34	как и	7	8
35	ни в	11	8
36	т п	13	8
37	не было	2	7
38	и во	2	7
39	все же	6	6
40	в частности	2	6
41	это не	5	6
42	в дальнейшем	3	6
43	например в	3	6
44	в их	10	6
45	не может	27	6
46	лишь в	2	6
47	и все	3	6
48	связи с	2	6
49	во всех	11	6
50	то что	8	6
51	в ее	4	6
52	как в	4	6
53	что в	7	5
54	и другие	2	5
55	не в	7	5
56	с самим	2	5
57	в пределах	6	5
58	в связи	2	5
59	в основе	5	5
60	точки зрения	8	5
61	если бы	3	5
62	отнюдь не	19	5
63	но не	12	5
64	еще не	7	5
65	он не	3	5
66	отношению к	19	5
67	того чтобы	2	5
68	для того	2	5
69	и у	2	5
70	могут быть	5	5
71	в своем	5	4
72	кроме того	3	4
73	в котором	2	4
74	все это	3	4
75	не имеет	9	4
76	конечно и	4	4
77	и с	17	4
78	в ней	4	4
79	к себе	2	4
80	в них	5	4
81	конечно не	5	4
82	и проч	28	4
83	или как	3	4
84	том что	3	4
85	и для	11	4
86	только в	13	4
87	и это	3	4
88	здесь не	4	4
89	не могут	2	3
90	человек в	2	3
91	себя и	3	3
92	в этих	2	3
93	формы и	5	3
94	вследствие этого	3	3
95	да и	3	3
96	связаны с	2	3
97	при этом	5	3
98	не имеют	2	3
99	имеет место	5	3
100	хотя и	3	3
101	в виду	4	3
102	здесь нет	2	3
103	со всеми	3	3
104	в форме	4	3
105	по отношению	21	3
106	отношения к	6	3
107	этом отношении	2	3
108	с одной	3	3
109	чем не	2	3
110	и других	2	3
111	они не	3	3
112	а в	6	3
113	вообще не	7	3
114	и те	2	3
115	сказать что	4	3
116	самим собою	2	3
117	в начале	2	3
118	его в	9	3
119	подхода к	2	3
120	ни к	2	3
121	но они	4	3
122	а как	3	3
123	не знает	3	3
124	на фоне	3	3
125	к этому	2	3
126	есть не	2	3
127	одной из	3	3
128	и потому	4	3
129	что и	2	3
130	эти моменты	2	3
131	а не	5	3
132	что не	4	3
133	между ними	4	3
134	в таком	3	3
135	или в	2	3
136	с другими	3	3
137	более того	4	3
138	быть только	5	3
139	и ее	2	3
140	в себе	4	3
141	входит в	8	3
142	место и	2	3
143	место в	8	2
144	мы будем	3	2
145	никогда не	5	2
146	в нашем	4	2
147	с другой	7	2
148	на материале	3	2
149	что все	2	2
150	была бы	2	2
151	или иной	2	2
152	а только	2	2
153	лишь как	4	2
154	смысле слова	2	2
155	в свою	2	2
156	одной стороны	3	2
157	довлеет себе	2	2
158	не входят	4	2
159	есть только	2	2
160	в целом	3	2
161	не к	6	2
162	отношение к	10	2
163	в некоторых	2	2
164	ни с	2	2
165	природы и	3	2
166	на них	3	2
167	к своему	2	2
168	можно только	6	2
169	с помощью	7	2
170	в самой	2	2
171	на основе	6	2
172	того что	2	2
173	и даже	3	2
174	рядом с	5	2
175	не входит	10	2
176	также и	3	2
177	в более	4	2
178	их и	2	2
179	той или	2	2
180	быть конечно	2	2
181	во всем	2	2
182	в истории	2	2
183	мы должны	2	2
184	все то	3	2
185	мир в	2	2
186	с ним	5	2
187	все моменты	2	2
188	не является	3	2
189	он должен	2	2
190	раз и	2	2
191	ясно что	3	2
192	его целом	5	2
193	и к	3	2
194	но конечно	4	2
195	здесь все	2	2
196	строгом смысле	2	2
197	в чем	2	2
198	одна из	2	2
199	чем в	2	2
200	здесь в	2	2
201	было бы	8	2
202	том же	2	2
203	так называемый	2	2
204	на почве	3	2
205	нет и	3	2
206	оно не	3	2
207	но она	2	2
208	в своей	7	2
209	как бы	22	2
210	момент его	2	2
211	и события	2	2
212	в строгом	2	2
213	и прежде	5	2
214	совершенно не	7	2
215	в отличие	5	2
216	в значительной	2	2
217	и эта	2	2
218	с точки	6	2
219	значение но	2	2
220	хотя бы	4	2
221	в данном	4	2
222	тем что	2	2
223	и вообще	2	2
224	здесь совершенно	3	2
225	далеко не	5	2
226	слова и	3	2
227	др в	2	2
228	дело в	2	2
229	там где	6	2
230	отличие от	5	2
