N	2gram	Tiupa_Lite_1	slovoVRo
1	и в	8	41
2	в нем	2	30
3	то есть	6	26
4	могут быть	2	19
5	но и	17	16
6	и не	12	16
7	точки зрения	6	16
8	не только	24	16
9	а не	16	15
10	то же	5	14
11	в пределах	3	14
12	может быть	13	14
13	и др	3	14
14	не может	5	14
15	и его	4	14
16	в то	5	14
17	в сущности	2	13
18	в его	7	13
19	же время	5	12
20	как бы	7	12
21	в этом	12	12
22	так и	4	11
23	или иной	2	9
24	таким образом	3	9
25	все эти	2	9
26	себя в	6	9
27	прежде всего	11	8
28	но в	3	8
29	как в	5	8
30	с точки	2	8
31	все они	2	7
32	не в	8	7
33	в своей	4	7
34	все же	4	7
35	в слове	2	7
36	во всяком	3	7
37	того же	2	6
38	это не	4	6
39	при этом	19	6
40	и даже	3	6
41	а в	3	6
42	только в	8	6
43	с другой	3	5
44	в самом	3	5
45	всяком случае	2	5
46	в основе	3	5
47	не на	2	5
48	далеко не	3	5
49	одной стороны	2	4
50	одним из	5	4
51	один из	3	4
52	в их	3	4
53	за пределы	2	4
54	с одной	2	4
55	лишь в	4	4
56	поэзии и	2	4
57	с его	5	4
58	не как	4	4
59	как и	6	4
60	еще не	4	4
61	по преимуществу	4	4
62	том же	3	4
63	на почве	2	4
64	ту же	2	4
65	никогда не	4	3
66	хотя бы	2	3
67	из этих	2	3
68	от автора	2	3
69	к тому	2	3
70	от всякой	2	3
71	в том	16	3
72	и сам	6	3
73	для него	2	3
74	от языка	2	3
75	из них	4	3
76	как сказано	2	3
77	данном случае	4	3
78	в своем	11	3
79	того что	6	3
80	друг друга	4	3
81	также и	3	3
82	не было	3	3
83	о том	2	3
84	его в	3	3
85	которая не	2	3
86	у него	3	3
87	не могло	2	3
88	в себе	7	3
89	с этой	5	3
90	в качестве	17	3
91	было бы	2	3
92	при всем	3	3
93	в данном	5	3
94	в частности	15	2
95	к своей	2	2
96	столь же	4	2
97	одного из	3	2
98	для понимания	2	2
99	xx века	2	2
100	на этом	2	2
101	например в	3	2
102	такого рода	10	2
103	и тем	4	2
104	в целом	8	2
105	на том	2	2
106	xviii века	2	2
107	уже не	7	2
108	потому что	3	2
109	же и	3	2
110	между тем	2	2
111	не является	2	2
112	в сознании	2	2
113	а как	2	2
114	для них	2	2
115	перестает быть	4	2
116	дело не	2	2
117	том что	14	2
118	одна из	3	2
119	но не	4	2
120	при всех	2	2
121	века в	3	2
122	на один	2	2
123	а также	5	2
124	даже в	2	2
125	как раз	4	2
126	только на	2	2
127	не есть	2	2
128	той же	3	2
129	роль в	2	2
130	можно было	2	2
131	и то	2	2
132	в другом	2	2
133	связи с	6	2
134	автора в	2	2
