N	2gram	Tiupa_Teor_1	Tvorches
1	и в	18	21
2	как бы	5	17
3	в то	6	15
4	в его	6	13
5	то же	7	13
6	времени в	2	13
7	что в	9	12
8	как и	4	12
9	же время	5	12
10	то есть	12	12
11	с его	5	11
12	том что	9	11
13	в романе	3	10
14	все это	2	10
15	как в	5	8
16	он не	3	8
17	то что	3	8
18	в свою	3	7
19	в том	16	7
20	тем самым	4	7
21	при этом	12	7
22	не только	16	7
23	и не	13	7
24	но в	9	7
25	жизни в	2	6
26	не менее	4	6
27	для него	2	6
28	а в	13	6
29	и его	8	6
30	в этом	8	6
31	отнюдь не	3	5
32	вовсе не	3	5
33	а не	9	5
34	в повести	2	5
35	может быть	17	5
36	в этой	3	5
37	таким образом	3	5
38	потому что	3	5
39	как будто	2	5
40	только в	6	5
41	в русской	6	5
42	в своем	4	4
43	прежде всего	2	4
44	в мире	19	4
45	и как	2	4
46	времени и	2	4
47	в целом	3	4
48	конечном счете	6	4
49	одной из	2	4
50	одним из	2	4
51	в конечном	6	4
52	по сути	2	4
53	один из	2	4
54	своего рода	7	4
55	в своей	6	4
56	русской литературе	2	4
57	не может	4	4
58	это не	2	4
59	самим собой	3	4
60	не случайно	5	4
61	в момент	2	4
62	в финале	3	4
63	место в	5	3
64	и другие	2	3
65	никогда не	4	3
66	с другой	7	3
67	я не	2	3
68	с ее	3	3
69	в соответствии	3	3
70	соответствии с	2	3
71	но не	9	3
72	в самом	4	3
73	даже в	3	3
74	в нем	4	3
75	но и	9	3
76	дело не	2	3
77	ее в	2	3
78	первой части	2	3
79	в их	2	3
80	во времени	3	3
81	который в	2	3
82	уже не	4	3
83	того что	4	3
84	и даже	2	3
85	и по	2	3
86	так же	2	3
87	в которой	2	3
88	хотя и	3	3
89	в рассказе	2	3
90	далеко не	2	3
91	дело в	2	3
92	представляет собой	9	3
93	я и	2	3
94	в основе	3	2
95	в принципе	4	2
96	перед нами	2	2
97	личности и	4	2
98	в частности	16	2
99	однако в	7	2
100	в этих	3	2
101	в качестве	24	2
102	в пространстве	2	2
103	в жизни	2	2
104	личности в	3	2
105	в литературе	2	2
106	можно сказать	3	2
107	что и	2	2
108	об этом	2	2
109	не в	7	2
110	то в	2	2
111	в глаза	2	2
112	того же	3	2
113	в первой	5	2
114	к тому	2	2
115	по преимуществу	4	2
116	если в	2	2
117	и тем	3	2
118	тем не	3	2
119	не будет	2	2
120	во второй	7	2
121	вместе с	2	2
122	но она	2	2
123	к жизни	2	2
124	данном случае	5	2
125	так и	10	2
126	приводит к	5	2
127	вслед за	2	2
128	говорит что	2	2
129	в отличие	6	2
130	как к	2	2
131	и того	3	2
132	именно в	3	2
133	в себя	3	2
134	что она	2	2
135	в одно	2	2
136	и притом	2	2
137	на смену	4	2
138	отличие от	6	2
139	или в	3	2
140	сказать что	3	2
141	в первом	2	2
142	могут быть	4	2
143	но он	3	2
144	в данном	8	2
145	в себе	9	2
146	не знает	3	2
147	героя и	5	2
148	человека с	2	2
149	на деле	2	2
150	жизнь на	2	2
151	в виду	5	2
