N	2gram	Bakhtin_fo_2	Komedia
1	и в	46	26
2	и не	9	14
3	к тому	3	12
4	так и	7	12
5	и его	12	12
6	в том	10	11
7	может быть	7	11
8	но и	9	10
9	на протяжении	3	10
10	в этом	22	10
11	что в	5	9
12	том что	4	9
13	вместе с	9	9
14	было бы	2	8
15	и на	7	7
16	из них	8	7
17	не только	11	7
18	что и	3	7
19	в своем	5	6
20	во время	10	6
21	то что	7	6
22	еще не	6	6
23	наряду с	2	6
24	в нем	5	6
25	в двух	2	6
26	того чтобы	8	6
27	потому что	8	6
28	в то	5	6
29	о том	4	6
30	таким образом	3	6
31	с тем	2	5
32	к этому	3	5
33	что он	3	5
34	а затем	3	5
35	в качестве	3	5
36	один из	2	5
37	в истории	4	5
38	с этим	5	5
39	для того	8	5
40	так что	4	5
41	и с	6	5
42	место в	4	4
43	уже в	4	4
44	в частности	5	4
45	у него	9	4
46	в этих	3	4
47	в них	7	4
48	и от	2	4
49	прежде всего	14	4
50	из этих	4	4
51	о его	2	4
52	как мы	6	4
53	же в	4	4
54	как и	8	4
55	хотя и	3	4
56	в его	8	4
57	мира в	3	4
58	все же	6	4
59	и для	9	4
60	точки зрения	10	4
61	только в	11	4
62	так как	6	4
63	как это	2	4
64	его в	6	4
65	том числе	3	3
66	о чем	3	3
67	с этой	4	3
68	в образе	4	3
69	по всему	3	3
70	что на	3	3
71	жизни и	8	3
72	связи с	8	3
73	но не	5	3
74	того же	3	3
75	во всех	11	3
76	же время	4	3
77	здесь в	6	3
78	в котором	4	3
79	друг другу	2	3
80	и их	4	3
81	в их	3	3
82	все это	6	3
83	в связи	8	3
84	то же	8	3
85	не было	3	3
86	как в	4	3
87	в самой	2	3
88	а в	3	3
89	человека в	6	3
90	тем что	3	3
91	не может	2	3
92	как он	2	3
93	в этой	2	3
94	но в	10	3
95	одновременно с	2	2
96	если в	2	2
97	из самых	2	2
98	и другие	3	2
99	и есть	2	2
100	отнюдь не	4	2
101	с другой	2	2
102	не для	2	2
103	это не	2	2
104	в одной	2	2
105	в конце	2	2
106	в одном	7	2
107	представление о	2	2
108	в духе	2	2
109	вовсе не	13	2
110	нет и	3	2
111	и к	2	2
112	он был	2	2
113	не в	9	2
114	до сих	2	2
115	тот же	3	2
116	на этом	2	2
117	по своему	2	2
118	а на	2	2
119	похож на	2	2
120	связанных с	3	2
121	в это	3	2
122	наконец в	2	2
123	он не	5	2
124	друг с	4	2
125	как бы	10	2
126	в уста	2	2
127	не является	3	2
128	и т	14	2
129	и это	2	2
130	в мире	4	2
131	после этого	2	2
132	отношение к	3	2
133	сих пор	2	2
134	всего в	3	2
135	целый ряд	3	2
136	т п	11	2
137	если не	2	2
138	с одной	2	2
139	еще более	4	2
140	в той	2	2
141	и у	5	2
142	времени в	7	2
143	рядом с	2	2
144	роль в	3	2
145	во всяком	2	2
146	от этого	2	2
147	и во	6	2
148	говорить о	2	2
149	с другом	4	2
150	и все	6	2
151	по всем	2	2
152	мы имеем	2	2
153	в виду	3	2
